"Notes"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Aleutians West Census Area, AK"	"02016"	"2022 (provisional)"	"2022"	10	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"2021"	"2021"	2378	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"2022 (provisional)"	"2022"	1479	Not Applicable	Not Applicable
	"Bethel Census Area, AK"	"02050"	"2021"	"2021"	149	Not Applicable	Not Applicable
	"Bethel Census Area, AK"	"02050"	"2022 (provisional)"	"2022"	96	Not Applicable	Not Applicable
	"Bristol Bay Borough, AK"	"02060"	"2021"	"2021"	15	Not Applicable	Not Applicable
	"Bristol Bay Borough, AK"	"02060"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Denali Borough, AK"	"02068"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Denali Borough, AK"	"02068"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Dillingham Census Area, AK"	"02070"	"2021"	"2021"	55	Not Applicable	Not Applicable
	"Dillingham Census Area, AK"	"02070"	"2022 (provisional)"	"2022"	34	Not Applicable	Not Applicable
	"Fairbanks North Star Borough, AK"	"02090"	"2021"	"2021"	687	Not Applicable	Not Applicable
	"Fairbanks North Star Borough, AK"	"02090"	"2022 (provisional)"	"2022"	431	Not Applicable	Not Applicable
	"Haines Borough, AK"	"02100"	"2021"	"2021"	21	Not Applicable	Not Applicable
	"Haines Borough, AK"	"02100"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Hoonah-Angoon Census Area, AK"	"02105"	"2021"	"2021"	32	Not Applicable	Not Applicable
	"Hoonah-Angoon Census Area, AK"	"02105"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Juneau Borough, AK"	"02110"	"2021"	"2021"	219	Not Applicable	Not Applicable
	"Juneau Borough, AK"	"02110"	"2022 (provisional)"	"2022"	166	Not Applicable	Not Applicable
	"Kenai Peninsula Borough, AK"	"02122"	"2021"	"2021"	591	Not Applicable	Not Applicable
	"Kenai Peninsula Borough, AK"	"02122"	"2022 (provisional)"	"2022"	366	Not Applicable	Not Applicable
	"Ketchikan Gateway Borough, AK"	"02130"	"2021"	"2021"	133	Not Applicable	Not Applicable
	"Ketchikan Gateway Borough, AK"	"02130"	"2022 (provisional)"	"2022"	79	Not Applicable	Not Applicable
	"Kodiak Island Borough, AK"	"02150"	"2021"	"2021"	104	Not Applicable	Not Applicable
	"Kodiak Island Borough, AK"	"02150"	"2022 (provisional)"	"2022"	50	Not Applicable	Not Applicable
	"Lake and Peninsula Borough, AK"	"02164"	"2021"	"2021"	12	Not Applicable	Not Applicable
	"Lake and Peninsula Borough, AK"	"02164"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Matanuska-Susitna Borough, AK"	"02170"	"2021"	"2021"	994	Not Applicable	Not Applicable
	"Matanuska-Susitna Borough, AK"	"02170"	"2022 (provisional)"	"2022"	557	Not Applicable	Not Applicable
	"Nome Census Area, AK"	"02180"	"2021"	"2021"	95	Not Applicable	Not Applicable
	"Nome Census Area, AK"	"02180"	"2022 (provisional)"	"2022"	47	Not Applicable	Not Applicable
	"North Slope Borough, AK"	"02185"	"2021"	"2021"	60	Not Applicable	Not Applicable
	"North Slope Borough, AK"	"02185"	"2022 (provisional)"	"2022"	46	Not Applicable	Not Applicable
	"Northwest Arctic Borough, AK"	"02188"	"2021"	"2021"	69	Not Applicable	Not Applicable
	"Northwest Arctic Borough, AK"	"02188"	"2022 (provisional)"	"2022"	68	Not Applicable	Not Applicable
	"Petersburg Borough/Census Area, AK"	"02195"	"2021"	"2021"	30	Not Applicable	Not Applicable
	"Petersburg Borough/Census Area, AK"	"02195"	"2022 (provisional)"	"2022"	24	Not Applicable	Not Applicable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2021"	"2021"	97	Not Applicable	Not Applicable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2022 (provisional)"	"2022"	45	Not Applicable	Not Applicable
	"Sitka Borough, AK"	"02220"	"2021"	"2021"	76	Not Applicable	Not Applicable
	"Sitka Borough, AK"	"02220"	"2022 (provisional)"	"2022"	47	Not Applicable	Not Applicable
	"Skagway Municipality, AK"	"02230"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Skagway Municipality, AK"	"02230"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Southeast Fairbanks Census Area, AK"	"02240"	"2021"	"2021"	70	Not Applicable	Not Applicable
	"Southeast Fairbanks Census Area, AK"	"02240"	"2022 (provisional)"	"2022"	36	Not Applicable	Not Applicable
	"Valdez-Cordova Census Area, AK"	"02261"	"2021"	"2021"	0	Not Applicable	Not Applicable
	"Valdez-Cordova Census Area, AK"	"02261"	"2022 (provisional)"	"2022"	0	Not Applicable	Not Applicable
	"Wade Hampton Census Area, AK"	"02270"	"2021"	"2021"	86	Not Applicable	Not Applicable
	"Wade Hampton Census Area, AK"	"02270"	"2022 (provisional)"	"2022"	48	Not Applicable	Not Applicable
	"Wrangell City and Borough, AK"	"02275"	"2021"	"2021"	28	Not Applicable	Not Applicable
	"Wrangell City and Borough, AK"	"02275"	"2022 (provisional)"	"2022"	19	Not Applicable	Not Applicable
	"Yakutat Borough, AK"	"02282"	"2021"	"2021"	Suppressed	Not Applicable	Not Applicable
	"Yakutat Borough, AK"	"02282"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2021"	"2021"	74	Not Applicable	Not Applicable
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2022 (provisional)"	"2022"	43	Not Applicable	Not Applicable
	"Apache County, AZ"	"04001"	"2021"	"2021"	1199	Not Applicable	Not Applicable
	"Apache County, AZ"	"04001"	"2022 (provisional)"	"2022"	672	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	"2021"	"2021"	1833	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	"2022 (provisional)"	"2022"	1093	Not Applicable	Not Applicable
	"Coconino County, AZ"	"04005"	"2021"	"2021"	1196	Not Applicable	Not Applicable
	"Coconino County, AZ"	"04005"	"2022 (provisional)"	"2022"	700	Not Applicable	Not Applicable
	"Gila County, AZ"	"04007"	"2021"	"2021"	1054	Not Applicable	Not Applicable
	"Gila County, AZ"	"04007"	"2022 (provisional)"	"2022"	622	Not Applicable	Not Applicable
	"Graham County, AZ"	"04009"	"2021"	"2021"	489	Not Applicable	Not Applicable
	"Graham County, AZ"	"04009"	"2022 (provisional)"	"2022"	257	Not Applicable	Not Applicable
	"Greenlee County, AZ"	"04011"	"2021"	"2021"	96	Not Applicable	Not Applicable
	"Greenlee County, AZ"	"04011"	"2022 (provisional)"	"2022"	66	Not Applicable	Not Applicable
	"La Paz County, AZ"	"04012"	"2021"	"2021"	420	Not Applicable	Not Applicable
	"La Paz County, AZ"	"04012"	"2022 (provisional)"	"2022"	270	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2021"	"2021"	44153	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2022 (provisional)"	"2022"	27166	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"2021"	"2021"	4627	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"2022 (provisional)"	"2022"	2813	Not Applicable	Not Applicable
	"Navajo County, AZ"	"04017"	"2021"	"2021"	1848	Not Applicable	Not Applicable
	"Navajo County, AZ"	"04017"	"2022 (provisional)"	"2022"	1076	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2021"	"2021"	12827	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2022 (provisional)"	"2022"	8044	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"2021"	"2021"	4940	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"2022 (provisional)"	"2022"	3070	Not Applicable	Not Applicable
	"Santa Cruz County, AZ"	"04023"	"2021"	"2021"	427	Not Applicable	Not Applicable
	"Santa Cruz County, AZ"	"04023"	"2022 (provisional)"	"2022"	240	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2021"	"2021"	4120	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2022 (provisional)"	"2022"	2519	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"2021"	"2021"	2213	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"2022 (provisional)"	"2022"	1323	Not Applicable	Not Applicable
	"Arkansas County, AR"	"05001"	"2021"	"2021"	336	Not Applicable	Not Applicable
	"Arkansas County, AR"	"05001"	"2022 (provisional)"	"2022"	205	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	"2021"	"2021"	323	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	"2022 (provisional)"	"2022"	222	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"2021"	"2021"	928	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"2022 (provisional)"	"2022"	572	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"2021"	"2021"	2522	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"2022 (provisional)"	"2022"	1510	Not Applicable	Not Applicable
	"Boone County, AR"	"05009"	"2021"	"2021"	582	Not Applicable	Not Applicable
	"Boone County, AR"	"05009"	"2022 (provisional)"	"2022"	366	Not Applicable	Not Applicable
	"Bradley County, AR"	"05011"	"2021"	"2021"	165	Not Applicable	Not Applicable
	"Bradley County, AR"	"05011"	"2022 (provisional)"	"2022"	96	Not Applicable	Not Applicable
	"Calhoun County, AR"	"05013"	"2021"	"2021"	89	Not Applicable	Not Applicable
	"Calhoun County, AR"	"05013"	"2022 (provisional)"	"2022"	53	Not Applicable	Not Applicable
	"Carroll County, AR"	"05015"	"2021"	"2021"	394	Not Applicable	Not Applicable
	"Carroll County, AR"	"05015"	"2022 (provisional)"	"2022"	276	Not Applicable	Not Applicable
	"Chicot County, AR"	"05017"	"2021"	"2021"	172	Not Applicable	Not Applicable
	"Chicot County, AR"	"05017"	"2022 (provisional)"	"2022"	129	Not Applicable	Not Applicable
	"Clark County, AR"	"05019"	"2021"	"2021"	291	Not Applicable	Not Applicable
	"Clark County, AR"	"05019"	"2022 (provisional)"	"2022"	207	Not Applicable	Not Applicable
	"Clay County, AR"	"05021"	"2021"	"2021"	280	Not Applicable	Not Applicable
	"Clay County, AR"	"05021"	"2022 (provisional)"	"2022"	143	Not Applicable	Not Applicable
	"Cleburne County, AR"	"05023"	"2021"	"2021"	457	Not Applicable	Not Applicable
	"Cleburne County, AR"	"05023"	"2022 (provisional)"	"2022"	314	Not Applicable	Not Applicable
	"Cleveland County, AR"	"05025"	"2021"	"2021"	135	Not Applicable	Not Applicable
	"Cleveland County, AR"	"05025"	"2022 (provisional)"	"2022"	81	Not Applicable	Not Applicable
	"Columbia County, AR"	"05027"	"2021"	"2021"	306	Not Applicable	Not Applicable
	"Columbia County, AR"	"05027"	"2022 (provisional)"	"2022"	213	Not Applicable	Not Applicable
	"Conway County, AR"	"05029"	"2021"	"2021"	301	Not Applicable	Not Applicable
	"Conway County, AR"	"05029"	"2022 (provisional)"	"2022"	211	Not Applicable	Not Applicable
	"Craighead County, AR"	"05031"	"2021"	"2021"	1190	Not Applicable	Not Applicable
	"Craighead County, AR"	"05031"	"2022 (provisional)"	"2022"	757	Not Applicable	Not Applicable
	"Crawford County, AR"	"05033"	"2021"	"2021"	878	Not Applicable	Not Applicable
	"Crawford County, AR"	"05033"	"2022 (provisional)"	"2022"	537	Not Applicable	Not Applicable
	"Crittenden County, AR"	"05035"	"2021"	"2021"	688	Not Applicable	Not Applicable
	"Crittenden County, AR"	"05035"	"2022 (provisional)"	"2022"	421	Not Applicable	Not Applicable
	"Cross County, AR"	"05037"	"2021"	"2021"	266	Not Applicable	Not Applicable
	"Cross County, AR"	"05037"	"2022 (provisional)"	"2022"	170	Not Applicable	Not Applicable
	"Dallas County, AR"	"05039"	"2021"	"2021"	120	Not Applicable	Not Applicable
	"Dallas County, AR"	"05039"	"2022 (provisional)"	"2022"	81	Not Applicable	Not Applicable
	"Desha County, AR"	"05041"	"2021"	"2021"	192	Not Applicable	Not Applicable
	"Desha County, AR"	"05041"	"2022 (provisional)"	"2022"	98	Not Applicable	Not Applicable
	"Drew County, AR"	"05043"	"2021"	"2021"	225	Not Applicable	Not Applicable
	"Drew County, AR"	"05043"	"2022 (provisional)"	"2022"	152	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	"2021"	"2021"	1189	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	"2022 (provisional)"	"2022"	822	Not Applicable	Not Applicable
	"Franklin County, AR"	"05047"	"2021"	"2021"	275	Not Applicable	Not Applicable
	"Franklin County, AR"	"05047"	"2022 (provisional)"	"2022"	156	Not Applicable	Not Applicable
	"Fulton County, AR"	"05049"	"2021"	"2021"	255	Not Applicable	Not Applicable
	"Fulton County, AR"	"05049"	"2022 (provisional)"	"2022"	151	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"2021"	"2021"	1707	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"2022 (provisional)"	"2022"	1100	Not Applicable	Not Applicable
	"Grant County, AR"	"05053"	"2021"	"2021"	306	Not Applicable	Not Applicable
	"Grant County, AR"	"05053"	"2022 (provisional)"	"2022"	173	Not Applicable	Not Applicable
	"Greene County, AR"	"05055"	"2021"	"2021"	612	Not Applicable	Not Applicable
	"Greene County, AR"	"05055"	"2022 (provisional)"	"2022"	395	Not Applicable	Not Applicable
	"Hempstead County, AR"	"05057"	"2021"	"2021"	279	Not Applicable	Not Applicable
	"Hempstead County, AR"	"05057"	"2022 (provisional)"	"2022"	198	Not Applicable	Not Applicable
	"Hot Spring County, AR"	"05059"	"2021"	"2021"	526	Not Applicable	Not Applicable
	"Hot Spring County, AR"	"05059"	"2022 (provisional)"	"2022"	319	Not Applicable	Not Applicable
	"Howard County, AR"	"05061"	"2021"	"2021"	164	Not Applicable	Not Applicable
	"Howard County, AR"	"05061"	"2022 (provisional)"	"2022"	133	Not Applicable	Not Applicable
	"Independence County, AR"	"05063"	"2021"	"2021"	545	Not Applicable	Not Applicable
	"Independence County, AR"	"05063"	"2022 (provisional)"	"2022"	354	Not Applicable	Not Applicable
	"Izard County, AR"	"05065"	"2021"	"2021"	263	Not Applicable	Not Applicable
	"Izard County, AR"	"05065"	"2022 (provisional)"	"2022"	156	Not Applicable	Not Applicable
	"Jackson County, AR"	"05067"	"2021"	"2021"	255	Not Applicable	Not Applicable
	"Jackson County, AR"	"05067"	"2022 (provisional)"	"2022"	188	Not Applicable	Not Applicable
	"Jefferson County, AR"	"05069"	"2021"	"2021"	1000	Not Applicable	Not Applicable
	"Jefferson County, AR"	"05069"	"2022 (provisional)"	"2022"	630	Not Applicable	Not Applicable
