"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Henry County, AL"	"01067"	"2018"	"2018"	221	17209	1284.2
	"Henry County, AL"	"01067"	"2019"	"2019"	223	17205	1296.1
	"Houston County, AL"	"01069"	"2015"	"2015"	1085	104173	1041.5
	"Houston County, AL"	"01069"	"2016"	"2016"	1112	104056	1068.7
	"Houston County, AL"	"01069"	"2017"	"2017"	1186	104346	1136.6
	"Houston County, AL"	"01069"	"2018"	"2018"	1133	104722	1081.9
	"Houston County, AL"	"01069"	"2019"	"2019"	1162	105882	1097.4
	"Jackson County, AL"	"01071"	"2015"	"2015"	719	52419	1371.6
	"Jackson County, AL"	"01071"	"2016"	"2016"	736	52138	1411.6
	"Jackson County, AL"	"01071"	"2017"	"2017"	714	51909	1375.5
	"Jackson County, AL"	"01071"	"2018"	"2018"	708	51736	1368.5
	"Jackson County, AL"	"01071"	"2019"	"2019"	728	51626	1410.1
	"Jefferson County, AL"	"01073"	"2015"	"2015"	7182	660367	1087.6
	"Jefferson County, AL"	"01073"	"2016"	"2016"	7137	659521	1082.1
	"Jefferson County, AL"	"01073"	"2017"	"2017"	7314	659197	1109.5
	"Jefferson County, AL"	"01073"	"2018"	"2018"	7451	659300	1130.1
	"Jefferson County, AL"	"01073"	"2019"	"2019"	7237	658573	1098.9
	"Lamar County, AL"	"01075"	"2015"	"2015"	202	13886	1454.7
	"Lamar County, AL"	"01075"	"2016"	"2016"	205	13918	1472.9
	"Lamar County, AL"	"01075"	"2017"	"2017"	216	13946	1548.8
	"Lamar County, AL"	"01075"	"2018"	"2018"	154	13844	1112.4
	"Lamar County, AL"	"01075"	"2019"	"2019"	196	13805	1419.8
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	1104	92596	1192.3
	"Lauderdale County, AL"	"01077"	"2016"	"2016"	1161	92318	1257.6
	"Lauderdale County, AL"	"01077"	"2017"	"2017"	1100	92538	1188.7
	"Lauderdale County, AL"	"01077"	"2018"	"2018"	1149	92387	1243.7
	"Lauderdale County, AL"	"01077"	"2019"	"2019"	1135	92729	1224.0
	"Lawrence County, AL"	"01079"	"2015"	"2015"	420	33115	1268.3
	"Lawrence County, AL"	"01079"	"2016"	"2016"	400	33244	1203.2
	"Lawrence County, AL"	"01079"	"2017"	"2017"	397	33049	1201.2
	"Lawrence County, AL"	"01079"	"2018"	"2018"	432	32957	1310.8
	"Lawrence County, AL"	"01079"	"2019"	"2019"	422	32924	1281.7
	"Lee County, AL"	"01081"	"2015"	"2015"	1016	156993	647.2
	"Lee County, AL"	"01081"	"2016"	"2016"	1007	158991	633.4
	"Lee County, AL"	"01081"	"2017"	"2017"	1111	161604	687.5
	"Lee County, AL"	"01081"	"2018"	"2018"	1115	163941	680.1
	"Lee County, AL"	"01081"	"2019"	"2019"	1219	164542	740.8
	"Limestone County, AL"	"01083"	"2015"	"2015"	776	91663	846.6
	"Limestone County, AL"	"01083"	"2016"	"2016"	727	92753	783.8
	"Limestone County, AL"	"01083"	"2017"	"2017"	848	94402	898.3
	"Limestone County, AL"	"01083"	"2018"	"2018"	890	96174	925.4
	"Limestone County, AL"	"01083"	"2019"	"2019"	856	98915	865.4
	"Lowndes County, AL"	"01085"	"2015"	"2015"	129	10458	1233.5
	"Lowndes County, AL"	"01085"	"2016"	"2016"	148	10358	1428.8
	"Lowndes County, AL"	"01085"	"2017"	"2017"	134	10076	1329.9
	"Lowndes County, AL"	"01085"	"2018"	"2018"	140	9974	1403.6
	"Lowndes County, AL"	"01085"	"2019"	"2019"	146	9726	1501.1
	"Macon County, AL"	"01087"	"2015"	"2015"	231	19105	1209.1
	"Macon County, AL"	"01087"	"2016"	"2016"	259	18963	1365.8
	"Macon County, AL"	"01087"	"2017"	"2017"	218	18755	1162.4
	"Macon County, AL"	"01087"	"2018"	"2018"	268	18439	1453.4
	"Macon County, AL"	"01087"	"2019"	"2019"	263	18068	1455.6
	"Madison County, AL"	"01089"	"2015"	"2015"	3020	353089	855.3
	"Madison County, AL"	"01089"	"2016"	"2016"	3282	356967	919.4
	"Madison County, AL"	"01089"	"2017"	"2017"	3189	361046	883.3
	"Madison County, AL"	"01089"	"2018"	"2018"	3352	366519	914.6
	"Madison County, AL"	"01089"	"2019"	"2019"	3360	372909	901.0
	"Marengo County, AL"	"01091"	"2015"	"2015"	252	20028	1258.2
	"Marengo County, AL"	"01091"	"2016"	"2016"	270	19673	1372.4
	"Marengo County, AL"	"01091"	"2017"	"2017"	282	19375	1455.5
	"Marengo County, AL"	"01091"	"2018"	"2018"	301	19066	1578.7
	"Marengo County, AL"	"01091"	"2019"	"2019"	272	18863	1442.0
	"Marion County, AL"	"01093"	"2015"	"2015"	441	30168	1461.8
	"Marion County, AL"	"01093"	"2016"	"2016"	388	29998	1293.4
	"Marion County, AL"	"01093"	"2017"	"2017"	419	29833	1404.5
	"Marion County, AL"	"01093"	"2018"	"2018"	423	29763	1421.2
	"Marion County, AL"	"01093"	"2019"	"2019"	443	29709	1491.1
	"Marshall County, AL"	"01095"	"2015"	"2015"	1114	94725	1176.0
	"Marshall County, AL"	"01095"	"2016"	"2016"	1187	95157	1247.4
	"Marshall County, AL"	"01095"	"2017"	"2017"	1133	95548	1185.8
	"Marshall County, AL"	"01095"	"2018"	"2018"	1192	96109	1240.3
	"Marshall County, AL"	"01095"	"2019"	"2019"	1129	96774	1166.6
	"Mobile County, AL"	"01097"	"2015"	"2015"	4285	415395	1031.5
	"Mobile County, AL"	"01097"	"2016"	"2016"	4411	414836	1063.3
	"Mobile County, AL"	"01097"	"2017"	"2017"	4301	413955	1039.0
	"Mobile County, AL"	"01097"	"2018"	"2018"	4493	413757	1085.9
	"Mobile County, AL"	"01097"	"2019"	"2019"	4574	413210	1106.9
	"Monroe County, AL"	"01099"	"2015"	"2015"	268	21673	1236.6
	"Monroe County, AL"	"01099"	"2016"	"2016"	237	21530	1100.8
	"Monroe County, AL"	"01099"	"2017"	"2017"	294	21327	1378.5
	"Monroe County, AL"	"01099"	"2018"	"2018"	298	21067	1414.5
	"Monroe County, AL"	"01099"	"2019"	"2019"	247	20733	1191.3
	"Montgomery County, AL"	"01101"	"2015"	"2015"	2168	226519	957.1
	"Montgomery County, AL"	"01101"	"2016"	"2016"	2150	226349	949.9
	"Montgomery County, AL"	"01101"	"2017"	"2017"	2157	226646	951.7
	"Montgomery County, AL"	"01101"	"2018"	"2018"	2102	225763	931.1
	"Montgomery County, AL"	"01101"	"2019"	"2019"	2124	226486	937.8
	"Morgan County, AL"	"01103"	"2015"	"2015"	1330	119565	1112.4
	"Morgan County, AL"	"01103"	"2016"	"2016"	1318	119012	1107.5
	"Morgan County, AL"	"01103"	"2017"	"2017"	1393	118818	1172.4
	"Morgan County, AL"	"01103"	"2018"	"2018"	1362	119089	1143.7
	"Morgan County, AL"	"01103"	"2019"	"2019"	1458	119679	1218.3
	"Perry County, AL"	"01105"	"2015"	"2015"	121	9652	1253.6
	"Perry County, AL"	"01105"	"2016"	"2016"	129	9574	1347.4
	"Perry County, AL"	"01105"	"2017"	"2017"	142	9339	1520.5
	"Perry County, AL"	"01105"	"2018"	"2018"	116	9140	1269.1
	"Perry County, AL"	"01105"	"2019"	"2019"	126	8923	1412.1
	"Pickens County, AL"	"01107"	"2015"	"2015"	268	20864	1284.5
	"Pickens County, AL"	"01107"	"2016"	"2016"	250	20324	1230.1
	"Pickens County, AL"	"01107"	"2017"	"2017"	206	20176	1021.0
	"Pickens County, AL"	"01107"	"2018"	"2018"	233	19938	1168.6
	"Pickens County, AL"	"01107"	"2019"	"2019"	291	19930	1460.1
	"Pike County, AL"	"01109"	"2015"	"2015"	302	33046	913.9
	"Pike County, AL"	"01109"	"2016"	"2016"	302	33286	907.3
	"Pike County, AL"	"01109"	"2017"	"2017"	337	33267	1013.0
	"Pike County, AL"	"01109"	"2018"	"2018"	321	33338	962.9
	"Pike County, AL"	"01109"	"2019"	"2019"	334	33114	1008.6
	"Randolph County, AL"	"01111"	"2015"	"2015"	314	22696	1383.5
	"Randolph County, AL"	"01111"	"2016"	"2016"	295	22652	1302.3
	"Randolph County, AL"	"01111"	"2017"	"2017"	345	22670	1521.8
	"Randolph County, AL"	"01111"	"2018"	"2018"	292	22725	1284.9
	"Randolph County, AL"	"01111"	"2019"	"2019"	301	22722	1324.7
	"Russell County, AL"	"01113"	"2015"	"2015"	651	59660	1091.2
	"Russell County, AL"	"01113"	"2016"	"2016"	657	58172	1129.4
	"Russell County, AL"	"01113"	"2017"	"2017"	665	57045	1165.7
	"Russell County, AL"	"01113"	"2018"	"2018"	595	57781	1029.8
	"Russell County, AL"	"01113"	"2019"	"2019"	635	57961	1095.6
	"St. Clair County, AL"	"01115"	"2015"	"2015"	904	87074	1038.2
	"St. Clair County, AL"	"01115"	"2016"	"2016"	975	88019	1107.7
	"St. Clair County, AL"	"01115"	"2017"	"2017"	942	88199	1068.0
	"St. Clair County, AL"	"01115"	"2018"	"2018"	978	88690	1102.7
	"St. Clair County, AL"	"01115"	"2019"	"2019"	965	89512	1078.1
	"Shelby County, AL"	"01117"	"2015"	"2015"	1350	208713	646.8
	"Shelby County, AL"	"01117"	"2016"	"2016"	1490	210622	707.4
	"Shelby County, AL"	"01117"	"2017"	"2017"	1471	213605	688.7
	"Shelby County, AL"	"01117"	"2018"	"2018"	1551	215707	719.0
	"Shelby County, AL"	"01117"	"2019"	"2019"	1635	217702	751.0
	"Sumter County, AL"	"01119"	"2015"	"2015"	158	13103	1205.8
	"Sumter County, AL"	"01119"	"2016"	"2016"	164	13040	1257.7
	"Sumter County, AL"	"01119"	"2017"	"2017"	146	12687	1150.8
	"Sumter County, AL"	"01119"	"2018"	"2018"	166	12691	1308.0
	"Sumter County, AL"	"01119"	"2019"	"2019"	166	12427	1335.8
	"Talladega County, AL"	"01121"	"2015"	"2015"	1010	80862	1249.0
	"Talladega County, AL"	"01121"	"2016"	"2016"	1018	80103	1270.9
	"Talladega County, AL"	"01121"	"2017"	"2017"	1050	80065	1311.4
	"Talladega County, AL"	"01121"	"2018"	"2018"	1015	79828	1271.5
	"Talladega County, AL"	"01121"	"2019"	"2019"	1001	79978	1251.6
	"Tallapoosa County, AL"	"01123"	"2015"	"2015"	452	40844	1106.6
	"Tallapoosa County, AL"	"01123"	"2016"	"2016"	589	40727	1446.2
	"Tallapoosa County, AL"	"01123"	"2017"	"2017"	571	40681	1403.6
	"Tallapoosa County, AL"	"01123"	"2018"	"2018"	534	40497	1318.6
	"Tallapoosa County, AL"	"01123"	"2019"	"2019"	595	40367	1474.0
	"Tuscaloosa County, AL"	"01125"	"2015"	"2015"	1761	203976	863.3
	"Tuscaloosa County, AL"	"01125"	"2016"	"2016"	1763	206102	855.4
	"Tuscaloosa County, AL"	"01125"	"2017"	"2017"	1736	207811	835.4
	"Tuscaloosa County, AL"	"01125"	"2018"	"2018"	1849	208911	885.1
	"Tuscaloosa County, AL"	"01125"	"2019"	"2019"	1738	209355	830.2
	"Walker County, AL"	"01127"	"2015"	"2015"	1055	65294	1615.8
	"Walker County, AL"	"01127"	"2016"	"2016"	1012	64967	1557.7
	"Walker County, AL"	"01127"	"2017"	"2017"	1086	64058	1695.3
	"Walker County, AL"	"01127"	"2018"	"2018"	1028	63711	1613.5
	"Walker County, AL"	"01127"	"2019"	"2019"	993	63521	1563.3
	"Washington County, AL"	"01129"	"2015"	"2015"	230	16804	1368.7
	"Washington County, AL"	"01129"	"2016"	"2016"	212	16756	1265.2
	"Washington County, AL"	"01129"	"2017"	"2017"	183	16531	1107.0
	"Washington County, AL"	"01129"	"2018"	"2018"	189	16378	1154.0
	"Washington County, AL"	"01129"	"2019"	"2019"	205	16326	1255.7
	"Wilcox County, AL"	"01131"	"2015"	"2015"	145	11059	1311.1
	"Wilcox County, AL"	"01131"	"2016"	"2016"	125	10986	1137.8
	"Wilcox County, AL"	"01131"	"2017"	"2017"	146	10719	1362.1
	"Wilcox County, AL"	"01131"	"2018"	"2018"	170	10627	1599.7
	"Wilcox County, AL"	"01131"	"2019"	"2019"	150	10373	1446.1
	"Winston County, AL"	"01133"	"2015"	"2015"	304	23877	1273.2
	"Winston County, AL"	"01133"	"2016"	"2016"	324	23805	1361.1
	"Winston County, AL"	"01133"	"2017"	"2017"	337	23722	1420.6
	"Winston County, AL"	"01133"	"2018"	"2018"	307	23660	1297.5
	"Winston County, AL"	"01133"	"2019"	"2019"	317	23629	1341.6
	"Aleutians East Borough, AK"	"02013"	"2015"	"2015"	Suppressed	3341	Suppressed
	"Aleutians East Borough, AK"	"02013"	"2016"	"2016"	12	3296	Unreliable
	"Aleutians East Borough, AK"	"02013"	"2017"	"2017"	Suppressed	3370	Suppressed
	"Aleutians East Borough, AK"	"02013"	"2018"	"2018"	Suppressed	3515	Suppressed
	"Aleutians East Borough, AK"	"02013"	"2019"	"2019"	Suppressed	3337	Suppressed
	"Aleutians West Census Area, AK"	"02016"	"2015"	"2015"	19	5702	Unreliable
	"Aleutians West Census Area, AK"	"02016"	"2016"	"2016"	22	5647	389.6
	"Aleutians West Census Area, AK"	"02016"	"2017"	"2017"	13	5763	Unreliable
	"Aleutians West Census Area, AK"	"02016"	"2018"	"2018"	10	5723	Unreliable
	"Aleutians West Census Area, AK"	"02016"	"2019"	"2019"	13	5634	Unreliable
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	1658	298695	555.1
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	1724	298192	578.2
	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	1742	294356	591.8
	"Anchorage Borough, AK"	"02020"	"2018"	"2018"	1698	291538	582.4
	"Anchorage Borough, AK"	"02020"	"2019"	"2019"	1840	288000	638.9
	"Bethel Census Area, AK"	"02050"	"2015"	"2015"	113	17946	629.7
	"Bethel Census Area, AK"	"02050"	"2016"	"2016"	122	17968	679.0
	"Bethel Census Area, AK"	"02050"	"2017"	"2017"	120	18076	663.9
	"Bethel Census Area, AK"	"02050"	"2018"	"2018"	123	18216	675.2
	"Bethel Census Area, AK"	"02050"	"2019"	"2019"	130	18386	707.1
	"Bristol Bay Borough, AK"	"02060"	"2015"	"2015"	10	892	Unreliable
	"Bristol Bay Borough, AK"	"02060"	"2016"	"2016"	Suppressed	898	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"2017"	"2017"	Suppressed	867	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"2018"	"2018"	Suppressed	877	Suppressed
	"Bristol Bay Borough, AK"	"02060"	"2019"	"2019"	Suppressed	836	Suppressed
	"Denali Borough, AK"	"02068"	"2015"	"2015"	Suppressed	1919	Suppressed
	"Denali Borough, AK"	"02068"	"2016"	"2016"	10	1953	Unreliable
	"Denali Borough, AK"	"02068"	"2017"	"2017"	Suppressed	2074	Suppressed
	"Denali Borough, AK"	"02068"	"2018"	"2018"	15	2059	Unreliable
	"Denali Borough, AK"	"02068"	"2019"	"2019"	Suppressed	2097	Suppressed
	"Dillingham Census Area, AK"	"02070"	"2015"	"2015"	42	4997	840.5
	"Dillingham Census Area, AK"	"02070"	"2016"	"2016"	31	4954	625.8
	"Dillingham Census Area, AK"	"02070"	"2017"	"2017"	36	4932	729.9
	"Dillingham Census Area, AK"	"02070"	"2018"	"2018"	36	5000	720.0
