"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	272	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	289	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	1104	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	1146	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	310	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	198	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	207	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	143	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	124	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Mar., 2020"	"2020/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Apr., 2020"	"2020/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"May, 2020"	"2020/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jun., 2020"	"2020/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jul., 2020"	"2020/07"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Aug., 2020"	"2020/08"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Sep., 2020"	"2020/09"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Oct., 2020"	"2020/10"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Nov., 2020"	"2020/11"	59	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Dec., 2020"	"2020/12"	92	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jan., 2021"	"2021/01"	29	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Feb., 2021"	"2021/02"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Mar., 2021"	"2021/03"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Apr., 2021"	"2021/04"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"May, 2021"	"2021/05"	27	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jun., 2021"	"2021/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jul., 2021"	"2021/07"	21	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Aug., 2021"	"2021/08"	93	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Sep., 2021"	"2021/09"	171	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Oct., 2021"	"2021/10"	209	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Nov., 2021"	"2021/11"	107	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Dec., 2021"	"2021/12"	53	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	65	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	69	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	26	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Mar., 2020"	"2020/03"	58	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Apr., 2020"	"2020/04"	387	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"May, 2020"	"2020/05"	483	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jun., 2020"	"2020/06"	821	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Jul., 2020"	"2020/07"	1936	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Aug., 2020"	"2020/08"	832	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Sep., 2020"	"2020/09"	229	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Oct., 2020"	"2020/10"	225	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Nov., 2020"	"2020/11"	744	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Dec., 2020"	"2020/12"	2732	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Jan., 2021"	"2021/01"	3651	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Feb., 2021"	"2021/02"	1482	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Mar., 2021"	"2021/03"	411	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Apr., 2021"	"2021/04"	197	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"May, 2021"	"2021/05"	206	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Jun., 2021"	"2021/06"	147	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Jul., 2021"	"2021/07"	266	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Aug., 2021"	"2021/08"	745	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Sep., 2021"	"2021/09"	1122	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Oct., 2021"	"2021/10"	1047	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Nov., 2021"	"2021/11"	1451	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	"Dec., 2021"	"2021/12"	1981	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	1812	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	1094	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	330	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	82	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	74	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	163	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	181	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	120	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	97	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	85	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	208	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	361	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Mar., 2020"	"2020/03"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Apr., 2020"	"2020/04"	58	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"May, 2020"	"2020/05"	67	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jun., 2020"	"2020/06"	147	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Jul., 2020"	"2020/07"	257	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Aug., 2020"	"2020/08"	366	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Sep., 2020"	"2020/09"	362	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Oct., 2020"	"2020/10"	536	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Nov., 2020"	"2020/11"	735	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	"Dec., 2020"	"2020/12"	986	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Jan., 2021"	"2021/01"	1064	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Feb., 2021"	"2021/02"	409	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Mar., 2021"	"2021/03"	166	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Apr., 2021"	"2021/04"	65	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"May, 2021"	"2021/05"	76	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Jun., 2021"	"2021/06"	117	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Jul., 2021"	"2021/07"	371	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Aug., 2021"	"2021/08"	899	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Sep., 2021"	"2021/09"	708	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Oct., 2021"	"2021/10"	364	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Nov., 2021"	"2021/11"	183	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	"Dec., 2021"	"2021/12"	317	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	698	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	666	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	145	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	100	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	128	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	92	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	56	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	48	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	86	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Feb., 2020"	"2020/02"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Mar., 2020"	"2020/03"	266	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Apr., 2020"	"2020/04"	1958	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"May, 2020"	"2020/05"	2125	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Jun., 2020"	"2020/06"	1899	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Jul., 2020"	"2020/07"	3629	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Aug., 2020"	"2020/08"	3476	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Sep., 2020"	"2020/09"	1870	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Oct., 2020"	"2020/10"	1295	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Nov., 2020"	"2020/11"	2376	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	"Dec., 2020"	"2020/12"	12440	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Jan., 2021"	"2021/01"	18914	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Feb., 2021"	"2021/02"	7119	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Mar., 2021"	"2021/03"	1993	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Apr., 2021"	"2021/04"	791	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"May, 2021"	"2021/05"	530	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Jun., 2021"	"2021/06"	341	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Jul., 2021"	"2021/07"	695	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Aug., 2021"	"2021/08"	3198	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Sep., 2021"	"2021/09"	4027	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Oct., 2021"	"2021/10"	2556	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Nov., 2021"	"2021/11"	2229	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	"Dec., 2021"	"2021/12"	2147	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	6015	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	4202	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	1093	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	325	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	394	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	659	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	1089	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	947	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	594	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	364	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	569	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	1234	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Mar., 2020"	"2020/03"	92	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Apr., 2020"	"2020/04"	813	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"May, 2020"	"2020/05"	402	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Jun., 2020"	"2020/06"	136	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Jul., 2020"	"2020/07"	121	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Aug., 2020"	"2020/08"	97	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Sep., 2020"	"2020/09"	93	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Oct., 2020"	"2020/10"	206	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Nov., 2020"	"2020/11"	952	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	"Dec., 2020"	"2020/12"	1403	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Jan., 2021"	"2021/01"	604	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Feb., 2021"	"2021/02"	269	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Mar., 2021"	"2021/03"	158	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Apr., 2021"	"2021/04"	161	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"May, 2021"	"2021/05"	274	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Jun., 2021"	"2021/06"	166	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Jul., 2021"	"2021/07"	165	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Aug., 2021"	"2021/08"	259	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Sep., 2021"	"2021/09"	456	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Oct., 2021"	"2021/10"	717	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Nov., 2021"	"2021/11"	1081	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	"Dec., 2021"	"2021/12"	989	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	862	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	466	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	136	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	39	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	58	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	103	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	105	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	71	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	68	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	78	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	137	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	135	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Mar., 2020"	"2020/03"	113	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Apr., 2020"	"2020/04"	2308	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"May, 2020"	"2020/05"	1419	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Jun., 2020"	"2020/06"	230	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Jul., 2020"	"2020/07"	53	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Aug., 2020"	"2020/08"	25	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Sep., 2020"	"2020/09"	37	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Oct., 2020"	"2020/10"	132	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Nov., 2020"	"2020/11"	452	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020"	"2020"	"Dec., 2020"	"2020/12"	1013	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2021"	"2021"	"Jan., 2021"	"2021/01"	909	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2021"	"2021"	"Feb., 2021"	"2021/02"	399	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2021"	"2021"	"Mar., 2021"	"2021/03"	196	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2021"	"2021"	"Apr., 2021"	"2021/04"	170	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2021"	"2021"	"May, 2021"	"2021/05"	101	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2021"	"2021"	"Jun., 2021"	"2021/06"	21	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2021"	"2021"	"Jul., 2021"	"2021/07"	15	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2021"	"2021"	"Aug., 2021"	"2021/08"	107	Not Applicable	Not Applicable
