"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Solano County, CA"	"06095"	61	Not Applicable	Not Applicable
	"Sonoma County, CA"	"06097"	48	Not Applicable	Not Applicable
	"Stanislaus County, CA"	"06099"	104	Not Applicable	Not Applicable
	"Sutter County, CA"	"06101"	Suppressed	Not Applicable	Not Applicable
	"Tehama County, CA"	"06103"	14	Not Applicable	Not Applicable
	"Trinity County, CA"	"06105"	Suppressed	Not Applicable	Not Applicable
	"Tulare County, CA"	"06107"	48	Not Applicable	Not Applicable
	"Tuolumne County, CA"	"06109"	17	Not Applicable	Not Applicable
	"Ventura County, CA"	"06111"	85	Not Applicable	Not Applicable
	"Yolo County, CA"	"06113"	Suppressed	Not Applicable	Not Applicable
	"Yuba County, CA"	"06115"	13	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	46	Not Applicable	Not Applicable
	"Alamosa County, CO"	"08003"	Suppressed	Not Applicable	Not Applicable
	"Arapahoe County, CO"	"08005"	49	Not Applicable	Not Applicable
	"Archuleta County, CO"	"08007"	Suppressed	Not Applicable	Not Applicable
	"Baca County, CO"	"08009"	Suppressed	Not Applicable	Not Applicable
	"Bent County, CO"	"08011"	0	Not Applicable	Not Applicable
	"Boulder County, CO"	"08013"	20	Not Applicable	Not Applicable
	"Broomfield County, CO"	"08014"	Suppressed	Not Applicable	Not Applicable
	"Chaffee County, CO"	"08015"	Suppressed	Not Applicable	Not Applicable
	"Cheyenne County, CO"	"08017"	Suppressed	Not Applicable	Not Applicable
	"Clear Creek County, CO"	"08019"	0	Not Applicable	Not Applicable
	"Conejos County, CO"	"08021"	Suppressed	Not Applicable	Not Applicable
	"Costilla County, CO"	"08023"	Suppressed	Not Applicable	Not Applicable
	"Crowley County, CO"	"08025"	Suppressed	Not Applicable	Not Applicable
	"Custer County, CO"	"08027"	0	Not Applicable	Not Applicable
	"Delta County, CO"	"08029"	11	Not Applicable	Not Applicable
	"Denver County, CO"	"08031"	51	Not Applicable	Not Applicable
	"Dolores County, CO"	"08033"	0	Not Applicable	Not Applicable
	"Douglas County, CO"	"08035"	28	Not Applicable	Not Applicable
	"Eagle County, CO"	"08037"	0	Not Applicable	Not Applicable
	"Elbert County, CO"	"08039"	Suppressed	Not Applicable	Not Applicable
	"El Paso County, CO"	"08041"	81	Not Applicable	Not Applicable
	"Fremont County, CO"	"08043"	Suppressed	Not Applicable	Not Applicable
	"Garfield County, CO"	"08045"	Suppressed	Not Applicable	Not Applicable
	"Gilpin County, CO"	"08047"	Suppressed	Not Applicable	Not Applicable
	"Grand County, CO"	"08049"	Suppressed	Not Applicable	Not Applicable
	"Gunnison County, CO"	"08051"	0	Not Applicable	Not Applicable
	"Hinsdale County, CO"	"08053"	0	Not Applicable	Not Applicable
	"Huerfano County, CO"	"08055"	0	Not Applicable	Not Applicable
	"Jackson County, CO"	"08057"	0	Not Applicable	Not Applicable
	"Jefferson County, CO"	"08059"	50	Not Applicable	Not Applicable
	"Kiowa County, CO"	"08061"	Suppressed	Not Applicable	Not Applicable
	"Kit Carson County, CO"	"08063"	Suppressed	Not Applicable	Not Applicable
	"Lake County, CO"	"08065"	0	Not Applicable	Not Applicable
	"La Plata County, CO"	"08067"	Suppressed	Not Applicable	Not Applicable
	"Larimer County, CO"	"08069"	28	Not Applicable	Not Applicable
	"Las Animas County, CO"	"08071"	Suppressed	Not Applicable	Not Applicable
	"Lincoln County, CO"	"08073"	0	Not Applicable	Not Applicable
	"Logan County, CO"	"08075"	Suppressed	Not Applicable	Not Applicable
	"Mesa County, CO"	"08077"	20	Not Applicable	Not Applicable
	"Mineral County, CO"	"08079"	0	Not Applicable	Not Applicable
	"Moffat County, CO"	"08081"	Suppressed	Not Applicable	Not Applicable
	"Montezuma County, CO"	"08083"	Suppressed	Not Applicable	Not Applicable
	"Montrose County, CO"	"08085"	Suppressed	Not Applicable	Not Applicable
	"Morgan County, CO"	"08087"	Suppressed	Not Applicable	Not Applicable
	"Otero County, CO"	"08089"	Suppressed	Not Applicable	Not Applicable
	"Ouray County, CO"	"08091"	0	Not Applicable	Not Applicable
	"Park County, CO"	"08093"	Suppressed	Not Applicable	Not Applicable
	"Phillips County, CO"	"08095"	Suppressed	Not Applicable	Not Applicable
	"Pitkin County, CO"	"08097"	Suppressed	Not Applicable	Not Applicable
	"Prowers County, CO"	"08099"	0	Not Applicable	Not Applicable
	"Pueblo County, CO"	"08101"	27	Not Applicable	Not Applicable
	"Rio Blanco County, CO"	"08103"	Suppressed	Not Applicable	Not Applicable
	"Rio Grande County, CO"	"08105"	Suppressed	Not Applicable	Not Applicable
	"Routt County, CO"	"08107"	Suppressed	Not Applicable	Not Applicable
	"Saguache County, CO"	"08109"	0	Not Applicable	Not Applicable
	"San Juan County, CO"	"08111"	0	Not Applicable	Not Applicable
	"San Miguel County, CO"	"08113"	0	Not Applicable	Not Applicable
	"Sedgwick County, CO"	"08115"	0	Not Applicable	Not Applicable
	"Summit County, CO"	"08117"	Suppressed	Not Applicable	Not Applicable
	"Teller County, CO"	"08119"	Suppressed	Not Applicable	Not Applicable
	"Washington County, CO"	"08121"	Suppressed	Not Applicable	Not Applicable
	"Weld County, CO"	"08123"	24	Not Applicable	Not Applicable
	"Yuma County, CO"	"08125"	Suppressed	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	79	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	100	Not Applicable	Not Applicable
	"Litchfield County, CT"	"09005"	22	Not Applicable	Not Applicable
	"Middlesex County, CT"	"09007"	Suppressed	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	116	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	50	Not Applicable	Not Applicable
	"Tolland County, CT"	"09013"	15	Not Applicable	Not Applicable
	"Windham County, CT"	"09015"	19	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	37	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	58	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	33	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	48	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	32	Not Applicable	Not Applicable
	"Baker County, FL"	"12003"	Suppressed	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	30	Not Applicable	Not Applicable
	"Bradford County, FL"	"12007"	Suppressed	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	141	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	302	Not Applicable	Not Applicable
	"Calhoun County, FL"	"12013"	Suppressed	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	61	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	54	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	42	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	86	Not Applicable	Not Applicable
	"Columbia County, FL"	"12023"	16	Not Applicable	Not Applicable
	"DeSoto County, FL"	"12027"	Suppressed	Not Applicable	Not Applicable
	"Dixie County, FL"	"12029"	Suppressed	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	149	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	54	Not Applicable	Not Applicable
	"Flagler County, FL"	"12035"	23	Not Applicable	Not Applicable
	"Franklin County, FL"	"12037"	Suppressed	Not Applicable	Not Applicable
	"Gadsden County, FL"	"12039"	Suppressed	Not Applicable	Not Applicable
	"Gilchrist County, FL"	"12041"	Suppressed	Not Applicable	Not Applicable
	"Glades County, FL"	"12043"	0	Not Applicable	Not Applicable
	"Gulf County, FL"	"12045"	Suppressed	Not Applicable	Not Applicable
	"Hamilton County, FL"	"12047"	Suppressed	Not Applicable	Not Applicable
	"Hardee County, FL"	"12049"	Suppressed	Not Applicable	Not Applicable
	"Hendry County, FL"	"12051"	Suppressed	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	51	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	42	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	204	Not Applicable	Not Applicable
	"Holmes County, FL"	"12059"	Suppressed	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	40	Not Applicable	Not Applicable
	"Jackson County, FL"	"12063"	Suppressed	Not Applicable	Not Applicable
	"Jefferson County, FL"	"12065"	Suppressed	Not Applicable	Not Applicable
	"Lafayette County, FL"	"12067"	Suppressed	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	99	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	136	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	37	Not Applicable	Not Applicable
	"Levy County, FL"	"12075"	10	Not Applicable	Not Applicable
	"Liberty County, FL"	"12077"	Suppressed	Not Applicable	Not Applicable
	"Madison County, FL"	"12079"	Suppressed	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	122	Not Applicable	Not Applicable
	"Marion County, FL"	"12083"	116	Not Applicable	Not Applicable
	"Martin County, FL"	"12085"	42	Not Applicable	Not Applicable
	"Miami-Dade County, FL"	"12086"	384	Not Applicable	Not Applicable
	"Monroe County, FL"	"12087"	Suppressed	Not Applicable	Not Applicable
	"Nassau County, FL"	"12089"	16	Not Applicable	Not Applicable
	"Okaloosa County, FL"	"12091"	33	Not Applicable	Not Applicable
	"Okeechobee County, FL"	"12093"	Suppressed	Not Applicable	Not Applicable
	"Orange County, FL"	"12095"	134	Not Applicable	Not Applicable
	"Osceola County, FL"	"12097"	60	Not Applicable	Not Applicable
	"Palm Beach County, FL"	"12099"	297	Not Applicable	Not Applicable
	"Pasco County, FL"	"12101"	133	Not Applicable	Not Applicable
	"Pinellas County, FL"	"12103"	166	Not Applicable	Not Applicable
	"Polk County, FL"	"12105"	160	Not Applicable	Not Applicable
	"Putnam County, FL"	"12107"	Suppressed	Not Applicable	Not Applicable
	"St. Johns County, FL"	"12109"	46	Not Applicable	Not Applicable
	"St. Lucie County, FL"	"12111"	61	Not Applicable	Not Applicable
	"Santa Rosa County, FL"	"12113"	34	Not Applicable	Not Applicable
	"Sarasota County, FL"	"12115"	126	Not Applicable	Not Applicable
	"Seminole County, FL"	"12117"	79	Not Applicable	Not Applicable
	"Sumter County, FL"	"12119"	40	Not Applicable	Not Applicable
	"Suwannee County, FL"	"12121"	12	Not Applicable	Not Applicable
	"Taylor County, FL"	"12123"	Suppressed	Not Applicable	Not Applicable
	"Union County, FL"	"12125"	Suppressed	Not Applicable	Not Applicable
	"Volusia County, FL"	"12127"	118	Not Applicable	Not Applicable
	"Wakulla County, FL"	"12129"	Suppressed	Not Applicable	Not Applicable
	"Walton County, FL"	"12131"	11	Not Applicable	Not Applicable
	"Washington County, FL"	"12133"	Suppressed	Not Applicable	Not Applicable
	"Appling County, GA"	"13001"	Suppressed	Not Applicable	Not Applicable
	"Atkinson County, GA"	"13003"	Suppressed	Not Applicable	Not Applicable
	"Bacon County, GA"	"13005"	Suppressed	Not Applicable	Not Applicable
	"Baker County, GA"	"13007"	0	Not Applicable	Not Applicable
	"Baldwin County, GA"	"13009"	11	Not Applicable	Not Applicable
	"Banks County, GA"	"13011"	Suppressed	Not Applicable	Not Applicable
