"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Lee County, AL"	"01081"	3518	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	2799	Not Applicable	Not Applicable
	"Lowndes County, AL"	"01085"	465	Not Applicable	Not Applicable
	"Macon County, AL"	"01087"	712	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	9866	Not Applicable	Not Applicable
	"Marengo County, AL"	"01091"	817	Not Applicable	Not Applicable
	"Marion County, AL"	"01093"	1245	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	3551	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	13641	Not Applicable	Not Applicable
	"Monroe County, AL"	"01099"	851	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	6864	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	4284	Not Applicable	Not Applicable
	"Perry County, AL"	"01105"	388	Not Applicable	Not Applicable
	"Pickens County, AL"	"01107"	787	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	1086	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	886	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	1980	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	3191	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	4767	Not Applicable	Not Applicable
	"Sumter County, AL"	"01119"	443	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	3162	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	1688	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	5675	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	3167	Not Applicable	Not Applicable
	"Washington County, AL"	"01129"	590	Not Applicable	Not Applicable
	"Wilcox County, AL"	"01131"	442	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	1021	Not Applicable	Not Applicable
	"Aleutians East Borough, AK"	"02013"	25	Not Applicable	Not Applicable
	"Aleutians West Census Area, AK"	"02016"	39	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	5605	Not Applicable	Not Applicable
	"Bethel Census Area, AK"	"02050"	360	Not Applicable	Not Applicable
	"Bristol Bay Borough, AK"	"02060"	22	Not Applicable	Not Applicable
	"Denali Borough, AK"	"02068"	16	Not Applicable	Not Applicable
	"Dillingham Census Area, AK"	"02070"	127	Not Applicable	Not Applicable
	"Fairbanks North Star Borough, AK"	"02090"	1591	Not Applicable	Not Applicable
	"Haines Borough, AK"	"02100"	47	Not Applicable	Not Applicable
	"Hoonah-Angoon Census Area, AK"	"02105"	57	Not Applicable	Not Applicable
	"Juneau Borough, AK"	"02110"	556	Not Applicable	Not Applicable
	"Kenai Peninsula Borough, AK"	"02122"	1350	Not Applicable	Not Applicable
	"Ketchikan Gateway Borough, AK"	"02130"	303	Not Applicable	Not Applicable
	"Kodiak Island Borough, AK"	"02150"	220	Not Applicable	Not Applicable
	"Lake and Peninsula Borough, AK"	"02164"	34	Not Applicable	Not Applicable
	"Matanuska-Susitna Borough, AK"	"02170"	2190	Not Applicable	Not Applicable
	"Nome Census Area, AK"	"02180"	208	Not Applicable	Not Applicable
	"North Slope Borough, AK"	"02185"	151	Not Applicable	Not Applicable
	"Northwest Arctic Borough, AK"	"02188"	189	Not Applicable	Not Applicable
	"Petersburg Borough/Census Area, AK"	"02195"	77	Not Applicable	Not Applicable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	198	Not Applicable	Not Applicable
	"Sitka Borough, AK"	"02220"	179	Not Applicable	Not Applicable
	"Skagway Municipality, AK"	"02230"	18	Not Applicable	Not Applicable
	"Southeast Fairbanks Census Area, AK"	"02240"	161	Not Applicable	Not Applicable
	"Valdez-Cordova Census Area, AK"	"02261"	0	Not Applicable	Not Applicable
	"Wade Hampton Census Area, AK"	"02270"	186	Not Applicable	Not Applicable
	"Wrangell City and Borough, AK"	"02275"	69	Not Applicable	Not Applicable
	"Yakutat Borough, AK"	"02282"	10	Not Applicable	Not Applicable
	"Yukon-Koyukuk Census Area, AK"	"02290"	164	Not Applicable	Not Applicable
	"Apache County, AZ"	"04001"	2913	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	4313	Not Applicable	Not Applicable
	"Coconino County, AZ"	"04005"	2923	Not Applicable	Not Applicable
	"Gila County, AZ"	"04007"	2510	Not Applicable	Not Applicable
	"Graham County, AZ"	"04009"	1068	Not Applicable	Not Applicable
	"Greenlee County, AZ"	"04011"	224	Not Applicable	Not Applicable
	"La Paz County, AZ"	"04012"	1006	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	106298	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	10885	Not Applicable	Not Applicable
	"Navajo County, AZ"	"04017"	4443	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	31376	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	11660	Not Applicable	Not Applicable
	"Santa Cruz County, AZ"	"04023"	1080	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	9782	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	5665	Not Applicable	Not Applicable
	"Arkansas County, AR"	"05001"	800	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	793	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	2208	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	5991	Not Applicable	Not Applicable
	"Boone County, AR"	"05009"	1426	Not Applicable	Not Applicable
	"Bradley County, AR"	"05011"	428	Not Applicable	Not Applicable
	"Calhoun County, AR"	"05013"	211	Not Applicable	Not Applicable
	"Carroll County, AR"	"05015"	984	Not Applicable	Not Applicable
	"Chicot County, AR"	"05017"	450	Not Applicable	Not Applicable
	"Clark County, AR"	"05019"	741	Not Applicable	Not Applicable
	"Clay County, AR"	"05021"	639	Not Applicable	Not Applicable
	"Cleburne County, AR"	"05023"	1139	Not Applicable	Not Applicable
	"Cleveland County, AR"	"05025"	326	Not Applicable	Not Applicable
	"Columbia County, AR"	"05027"	838	Not Applicable	Not Applicable
	"Conway County, AR"	"05029"	741	Not Applicable	Not Applicable
	"Craighead County, AR"	"05031"	2952	Not Applicable	Not Applicable
	"Crawford County, AR"	"05033"	2078	Not Applicable	Not Applicable
	"Crittenden County, AR"	"05035"	1664	Not Applicable	Not Applicable
	"Cross County, AR"	"05037"	659	Not Applicable	Not Applicable
	"Dallas County, AR"	"05039"	306	Not Applicable	Not Applicable
	"Desha County, AR"	"05041"	441	Not Applicable	Not Applicable
	"Drew County, AR"	"05043"	615	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	2965	Not Applicable	Not Applicable
	"Franklin County, AR"	"05047"	673	Not Applicable	Not Applicable
	"Fulton County, AR"	"05049"	589	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	4172	Not Applicable	Not Applicable
	"Grant County, AR"	"05053"	680	Not Applicable	Not Applicable
	"Greene County, AR"	"05055"	1502	Not Applicable	Not Applicable
	"Hempstead County, AR"	"05057"	703	Not Applicable	Not Applicable
	"Hot Spring County, AR"	"05059"	1286	Not Applicable	Not Applicable
	"Howard County, AR"	"05061"	468	Not Applicable	Not Applicable
	"Independence County, AR"	"05063"	1351	Not Applicable	Not Applicable
	"Izard County, AR"	"05065"	610	Not Applicable	Not Applicable
	"Jackson County, AR"	"05067"	682	Not Applicable	Not Applicable
	"Jefferson County, AR"	"05069"	2531	Not Applicable	Not Applicable
	"Johnson County, AR"	"05071"	831	Not Applicable	Not Applicable
	"Lafayette County, AR"	"05073"	275	Not Applicable	Not Applicable
	"Lawrence County, AR"	"05075"	646	Not Applicable	Not Applicable
	"Lee County, AR"	"05077"	382	Not Applicable	Not Applicable
	"Lincoln County, AR"	"05079"	438	Not Applicable	Not Applicable
	"Little River County, AR"	"05081"	524	Not Applicable	Not Applicable
	"Logan County, AR"	"05083"	907	Not Applicable	Not Applicable
	"Lonoke County, AR"	"05085"	2069	Not Applicable	Not Applicable
	"Madison County, AR"	"05087"	580	Not Applicable	Not Applicable
	"Marion County, AR"	"05089"	790	Not Applicable	Not Applicable
	"Miller County, AR"	"05091"	1526	Not Applicable	Not Applicable
	"Mississippi County, AR"	"05093"	1596	Not Applicable	Not Applicable
	"Monroe County, AR"	"05095"	331	Not Applicable	Not Applicable
	"Montgomery County, AR"	"05097"	422	Not Applicable	Not Applicable
	"Nevada County, AR"	"05099"	316	Not Applicable	Not Applicable
	"Newton County, AR"	"05101"	340	Not Applicable	Not Applicable
	"Ouachita County, AR"	"05103"	983	Not Applicable	Not Applicable
	"Perry County, AR"	"05105"	360	Not Applicable	Not Applicable
	"Phillips County, AR"	"05107"	745	Not Applicable	Not Applicable
	"Pike County, AR"	"05109"	424	Not Applicable	Not Applicable
	"Poinsett County, AR"	"05111"	1057	Not Applicable	Not Applicable
	"Polk County, AR"	"05113"	829	Not Applicable	Not Applicable
	"Pope County, AR"	"05115"	1888	Not Applicable	Not Applicable
	"Prairie County, AR"	"05117"	379	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	11407	Not Applicable	Not Applicable
	"Randolph County, AR"	"05121"	721	Not Applicable	Not Applicable
	"St. Francis County, AR"	"05123"	830	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	3650	Not Applicable	Not Applicable
	"Scott County, AR"	"05127"	443	Not Applicable	Not Applicable
	"Searcy County, AR"	"05129"	360	Not Applicable	Not Applicable
	"Sebastian County, AR"	"05131"	4116	Not Applicable	Not Applicable
	"Sevier County, AR"	"05133"	532	Not Applicable	Not Applicable
	"Sharp County, AR"	"05135"	795	Not Applicable	Not Applicable
	"Stone County, AR"	"05137"	584	Not Applicable	Not Applicable
	"Union County, AR"	"05139"	1515	Not Applicable	Not Applicable
	"Van Buren County, AR"	"05141"	723	Not Applicable	Not Applicable
	"Washington County, AR"	"05143"	5037	Not Applicable	Not Applicable
	"White County, AR"	"05145"	2648	Not Applicable	Not Applicable
	"Woodruff County, AR"	"05147"	271	Not Applicable	Not Applicable
	"Yell County, AR"	"05149"	727	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	28152	Not Applicable	Not Applicable
	"Alpine County, CA"	"06003"	62	Not Applicable	Not Applicable
	"Amador County, CA"	"06005"	1351	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	6155	Not Applicable	Not Applicable
	"Calaveras County, CA"	"06009"	1484	Not Applicable	Not Applicable
	"Colusa County, CA"	"06011"	467	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	22380	Not Applicable	Not Applicable
	"Del Norte County, CA"	"06015"	913	Not Applicable	Not Applicable
	"El Dorado County, CA"	"06017"	4634	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	22688	Not Applicable	Not Applicable
	"Glenn County, CA"	"06021"	760	Not Applicable	Not Applicable
	"Humboldt County, CA"	"06023"	3858	Not Applicable	Not Applicable
	"Imperial County, CA"	"06025"	4261	Not Applicable	Not Applicable
	"Inyo County, CA"	"06027"	613	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	20361	Not Applicable	Not Applicable
	"Kings County, CA"	"06031"	2949	Not Applicable	Not Applicable
	"Lake County, CA"	"06033"	2366	Not Applicable	Not Applicable
	"Lassen County, CA"	"06035"	838	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	202433	Not Applicable	Not Applicable
	"Madera County, CA"	"06039"	3585	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	5343	Not Applicable	Not Applicable
	"Mariposa County, CA"	"06043"	571	Not Applicable	Not Applicable
	"Mendocino County, CA"	"06045"	2587	Not Applicable	Not Applicable
	"Merced County, CA"	"06047"	5784	Not Applicable	Not Applicable
	"Modoc County, CA"	"06049"	325	Not Applicable	Not Applicable
	"Mono County, CA"	"06051"	147	Not Applicable	Not Applicable
	"Monterey County, CA"	"06053"	7662	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	3239	Not Applicable	Not Applicable
	"Nevada County, CA"	"06057"	2949	Not Applicable	Not Applicable
	"Orange County, CA"	"06059"	60734	Not Applicable	Not Applicable
	"Placer County, CA"	"06061"	9587	Not Applicable	Not Applicable
	"Plumas County, CA"	"06063"	660	Not Applicable	Not Applicable
	"Riverside County, CA"	"06065"	55864	Not Applicable	Not Applicable
	"Sacramento County, CA"	"06067"	34646	Not Applicable	Not Applicable
	"San Benito County, CA"	"06069"	1119	Not Applicable	Not Applicable
	"San Bernardino County, CA"	"06071"	48841	Not Applicable	Not Applicable
	"San Diego County, CA"	"06073"	64111	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	16241	Not Applicable	Not Applicable
	"San Joaquin County, CA"	"06077"	17518	Not Applicable	Not Applicable
	"San Luis Obispo County, CA"	"06079"	6574	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	12694	Not Applicable	Not Applicable
	"Santa Barbara County, CA"	"06083"	8905	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	28493	Not Applicable	Not Applicable
	"Santa Cruz County, CA"	"06087"	4921	Not Applicable	Not Applicable
	"Shasta County, CA"	"06089"	6616	Not Applicable	Not Applicable
	"Sierra County, CA"	"06091"	101	Not Applicable	Not Applicable
	"Siskiyou County, CA"	"06093"	1753	Not Applicable	Not Applicable
	"Solano County, CA"	"06095"	9891	Not Applicable	Not Applicable
	"Sonoma County, CA"	"06097"	11302	Not Applicable	Not Applicable
	"Stanislaus County, CA"	"06099"	13516	Not Applicable	Not Applicable
	"Sutter County, CA"	"06101"	2457	Not Applicable	Not Applicable
	"Tehama County, CA"	"06103"	2217	Not Applicable	Not Applicable
	"Trinity County, CA"	"06105"	452	Not Applicable	Not Applicable
	"Tulare County, CA"	"06107"	10128	Not Applicable	Not Applicable
	"Tuolumne County, CA"	"06109"	2044	Not Applicable	Not Applicable
	"Ventura County, CA"	"06111"	17159	Not Applicable	Not Applicable
	"Yolo County, CA"	"06113"	3827	Not Applicable	Not Applicable
	"Yuba County, CA"	"06115"	1877	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	9616	Not Applicable	Not Applicable
	"Alamosa County, CO"	"08003"	445	Not Applicable	Not Applicable
	"Arapahoe County, CO"	"08005"	12187	Not Applicable	Not Applicable
	"Archuleta County, CO"	"08007"	328	Not Applicable	Not Applicable
	"Baca County, CO"	"08009"	185	Not Applicable	Not Applicable
	"Bent County, CO"	"08011"	191	Not Applicable	Not Applicable
	"Boulder County, CO"	"08013"	5392	Not Applicable	Not Applicable
	"Broomfield County, CO"	"08014"	1232	Not Applicable	Not Applicable
	"Chaffee County, CO"	"08015"	485	Not Applicable	Not Applicable
	"Cheyenne County, CO"	"08017"	66	Not Applicable	Not Applicable
	"Clear Creek County, CO"	"08019"	169	Not Applicable	Not Applicable
	"Conejos County, CO"	"08021"	282	Not Applicable	Not Applicable
	"Costilla County, CO"	"08023"	127	Not Applicable	Not Applicable
	"Crowley County, CO"	"08025"	175	Not Applicable	Not Applicable
	"Custer County, CO"	"08027"	148	Not Applicable	Not Applicable
	"Delta County, CO"	"08029"	1206	Not Applicable	Not Applicable
	"Denver County, CO"	"08031"	13728	Not Applicable	Not Applicable
	"Dolores County, CO"	"08033"	86	Not Applicable	Not Applicable
	"Douglas County, CO"	"08035"	5002	Not Applicable	Not Applicable
	"Eagle County, CO"	"08037"	436	Not Applicable	Not Applicable
	"Elbert County, CO"	"08039"	503	Not Applicable	Not Applicable
	"El Paso County, CO"	"08041"	15850	Not Applicable	Not Applicable
	"Fremont County, CO"	"08043"	1731	Not Applicable	Not Applicable
	"Garfield County, CO"	"08045"	1018	Not Applicable	Not Applicable
	"Gilpin County, CO"	"08047"	88	Not Applicable	Not Applicable
	"Grand County, CO"	"08049"	233	Not Applicable	Not Applicable
	"Gunnison County, CO"	"08051"	214	Not Applicable	Not Applicable
	"Hinsdale County, CO"	"08053"	16	Not Applicable	Not Applicable
	"Huerfano County, CO"	"08055"	333	Not Applicable	Not Applicable
	"Jackson County, CO"	"08057"	30	Not Applicable	Not Applicable
	"Jefferson County, CO"	"08059"	13207	Not Applicable	Not Applicable
	"Kiowa County, CO"	"08061"	52	Not Applicable	Not Applicable
	"Kit Carson County, CO"	"08063"	236	Not Applicable	Not Applicable
	"Lake County, CO"	"08065"	115	Not Applicable	Not Applicable
	"La Plata County, CO"	"08067"	1095	Not Applicable	Not Applicable
	"Larimer County, CO"	"08069"	6876	Not Applicable	Not Applicable
	"Las Animas County, CO"	"08071"	571	Not Applicable	Not Applicable
	"Lincoln County, CO"	"08073"	158	Not Applicable	Not Applicable
	"Logan County, CO"	"08075"	710	Not Applicable	Not Applicable
	"Mesa County, CO"	"08077"	4723	Not Applicable	Not Applicable
	"Mineral County, CO"	"08079"	24	Not Applicable	Not Applicable
	"Moffat County, CO"	"08081"	377	Not Applicable	Not Applicable
	"Montezuma County, CO"	"08083"	852	Not Applicable	Not Applicable
	"Montrose County, CO"	"08085"	1363	Not Applicable	Not Applicable
	"Morgan County, CO"	"08087"	812	Not Applicable	Not Applicable
	"Otero County, CO"	"08089"	748	Not Applicable	Not Applicable
	"Ouray County, CO"	"08091"	82	Not Applicable	Not Applicable
	"Park County, CO"	"08093"	332	Not Applicable	Not Applicable
	"Phillips County, CO"	"08095"	187	Not Applicable	Not Applicable
	"Pitkin County, CO"	"08097"	177	Not Applicable	Not Applicable
	"Prowers County, CO"	"08099"	416	Not Applicable	Not Applicable
	"Pueblo County, CO"	"08101"	6031	Not Applicable	Not Applicable
	"Rio Blanco County, CO"	"08103"	167	Not Applicable	Not Applicable
	"Rio Grande County, CO"	"08105"	425	Not Applicable	Not Applicable
	"Routt County, CO"	"08107"	337	Not Applicable	Not Applicable
	"Saguache County, CO"	"08109"	180	Not Applicable	Not Applicable
	"San Juan County, CO"	"08111"	19	Not Applicable	Not Applicable
	"San Miguel County, CO"	"08113"	80	Not Applicable	Not Applicable
	"Sedgwick County, CO"	"08115"	114	Not Applicable	Not Applicable
	"Summit County, CO"	"08117"	212	Not Applicable	Not Applicable
	"Teller County, CO"	"08119"	622	Not Applicable	Not Applicable
	"Washington County, CO"	"08121"	176	Not Applicable	Not Applicable
	"Weld County, CO"	"08123"	5948	Not Applicable	Not Applicable
	"Yuma County, CO"	"08125"	275	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	20014	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	23562	Not Applicable	Not Applicable
	"Litchfield County, CT"	"09005"	5315	Not Applicable	Not Applicable
	"Middlesex County, CT"	"09007"	4341	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	22823	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	7269	Not Applicable	Not Applicable
	"Tolland County, CT"	"09013"	3193	Not Applicable	Not Applicable
	"Windham County, CT"	"09015"	3200	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	5478	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	14359	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	8455	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	14679	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	5920	Not Applicable	Not Applicable
	"Baker County, FL"	"12003"	848	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	5840	Not Applicable	Not Applicable
	"Bradford County, FL"	"12007"	942	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	22192	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	45818	Not Applicable	Not Applicable
	"Calhoun County, FL"	"12013"	566	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	8249	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	8493	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	6230	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	10859	Not Applicable	Not Applicable
	"Columbia County, FL"	"12023"	2674	Not Applicable	Not Applicable
	"DeSoto County, FL"	"12027"	1096	Not Applicable	Not Applicable
	"Dixie County, FL"	"12029"	711	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	26814	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	10979	Not Applicable	Not Applicable
	"Flagler County, FL"	"12035"	4379	Not Applicable	Not Applicable
	"Franklin County, FL"	"12037"	472	Not Applicable	Not Applicable
	"Gadsden County, FL"	"12039"	1553	Not Applicable	Not Applicable
	"Gilchrist County, FL"	"12041"	662	Not Applicable	Not Applicable
	"Glades County, FL"	"12043"	395	Not Applicable	Not Applicable
	"Gulf County, FL"	"12045"	604	Not Applicable	Not Applicable
	"Hamilton County, FL"	"12047"	527	Not Applicable	Not Applicable
	"Hardee County, FL"	"12049"	774	Not Applicable	Not Applicable
	"Hendry County, FL"	"12051"	1038	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	8593	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	4991	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	33929	Not Applicable	Not Applicable
	"Holmes County, FL"	"12059"	867	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	6501	Not Applicable	Not Applicable
	"Jackson County, FL"	"12063"	1893	Not Applicable	Not Applicable
	"Jefferson County, FL"	"12065"	538	Not Applicable	Not Applicable
	"Lafayette County, FL"	"12067"	292	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	13724	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	22807	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	6206	Not Applicable	Not Applicable
	"Levy County, FL"	"12075"	1753	Not Applicable	Not Applicable
	"Liberty County, FL"	"12077"	243	Not Applicable	Not Applicable
	"Madison County, FL"	"12079"	786	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	12749	Not Applicable	Not Applicable
	"Marion County, FL"	"12083"	16572	Not Applicable	Not Applicable
	"Martin County, FL"	"12085"	6008	Not Applicable	Not Applicable
	"Miami-Dade County, FL"	"12086"	63919	Not Applicable	Not Applicable
	"Monroe County, FL"	"12087"	2070	Not Applicable	Not Applicable
	"Nassau County, FL"	"12089"	2858	Not Applicable	Not Applicable
	"Okaloosa County, FL"	"12091"	5750	Not Applicable	Not Applicable
	"Okeechobee County, FL"	"12093"	1495	Not Applicable	Not Applicable
	"Orange County, FL"	"12095"	25964	Not Applicable	Not Applicable
	"Osceola County, FL"	"12097"	8234	Not Applicable	Not Applicable
	"Palm Beach County, FL"	"12099"	43618	Not Applicable	Not Applicable
	"Pasco County, FL"	"12101"	19257	Not Applicable	Not Applicable
	"Pinellas County, FL"	"12103"	33954	Not Applicable	Not Applicable
	"Polk County, FL"	"12105"	22751	Not Applicable	Not Applicable
	"Putnam County, FL"	"12107"	3268	Not Applicable	Not Applicable
	"St. Johns County, FL"	"12109"	6366	Not Applicable	Not Applicable
	"St. Lucie County, FL"	"12111"	10639	Not Applicable	Not Applicable
	"Santa Rosa County, FL"	"12113"	5050	Not Applicable	Not Applicable
	"Sarasota County, FL"	"12115"	17405	Not Applicable	Not Applicable
	"Seminole County, FL"	"12117"	10523	Not Applicable	Not Applicable
	"Sumter County, FL"	"12119"	6549	Not Applicable	Not Applicable
	"Suwannee County, FL"	"12121"	1843	Not Applicable	Not Applicable
	"Taylor County, FL"	"12123"	842	Not Applicable	Not Applicable
	"Union County, FL"	"12125"	663	Not Applicable	Not Applicable
	"Volusia County, FL"	"12127"	21824	Not Applicable	Not Applicable
	"Wakulla County, FL"	"12129"	1011	Not Applicable	Not Applicable
	"Walton County, FL"	"12131"	2146	Not Applicable	Not Applicable
	"Washington County, FL"	"12133"	949	Not Applicable	Not Applicable
	"Appling County, GA"	"13001"	659	Not Applicable	Not Applicable
	"Atkinson County, GA"	"13003"	292	Not Applicable	Not Applicable
	"Bacon County, GA"	"13005"	444	Not Applicable	Not Applicable
	"Baker County, GA"	"13007"	108	Not Applicable	Not Applicable
	"Baldwin County, GA"	"13009"	1475	Not Applicable	Not Applicable
	"Banks County, GA"	"13011"	589	Not Applicable	Not Applicable
	"Barrow County, GA"	"13013"	2059	Not Applicable	Not Applicable
	"Bartow County, GA"	"13015"	3197	Not Applicable	Not Applicable
	"Ben Hill County, GA"	"13017"	731	Not Applicable	Not Applicable
	"Berrien County, GA"	"13019"	693	Not Applicable	Not Applicable
	"Bibb County, GA"	"13021"	5556	Not Applicable	Not Applicable
	"Bleckley County, GA"	"13023"	491	Not Applicable	Not Applicable
	"Brantley County, GA"	"13025"	663	Not Applicable	Not Applicable
	"Brooks County, GA"	"13027"	585	Not Applicable	Not Applicable
	"Bryan County, GA"	"13029"	921	Not Applicable	Not Applicable
	"Bulloch County, GA"	"13031"	1774	Not Applicable	Not Applicable
	"Burke County, GA"	"13033"	730	Not Applicable	Not Applicable
	"Butts County, GA"	"13035"	890	Not Applicable	Not Applicable
	"Calhoun County, GA"	"13037"	183	Not Applicable	Not Applicable
	"Camden County, GA"	"13039"	1199	Not Applicable	Not Applicable
	"Candler County, GA"	"13043"	521	Not Applicable	Not Applicable
	"Carroll County, GA"	"13045"	3577	Not Applicable	Not Applicable
