"Notes"	"Month"	"Month Code"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Mar., 2020"	"2020/03"	"Suffolk County, NY"	"36103"	128	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Westchester County, NY"	"36119"	137	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Cuyahoga County, OH"	"39035"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Mahoning County, OH"	"39099"	12	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Monroe County, PA"	"42089"	12	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Montgomery County, PA"	"42091"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Northampton County, PA"	"42095"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Philadelphia County, PA"	"42101"	23	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Dallas County, TX"	"48113"	18	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Harris County, TX"	"48201"	18	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Chittenden County, VT"	"50007"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Fairfax County, VA"	"51059"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Henrico County, VA"	"51087"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Benton County, WA"	"53005"	15	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"King County, WA"	"53033"	162	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Snohomish County, WA"	"53061"	46	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Whatcom County, WA"	"53073"	12	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Milwaukee County, WI"	"55079"	24	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Chambers County, AL"	"01017"	23	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Jefferson County, AL"	"01073"	42	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lee County, AL"	"01081"	27	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Mobile County, AL"	"01097"	54	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Montgomery County, AL"	"01101"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Shelby County, AL"	"01117"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Tallapoosa County, AL"	"01123"	22	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Apache County, AZ"	"04001"	19	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Coconino County, AZ"	"04005"	46	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Maricopa County, AZ"	"04013"	150	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Mohave County, AZ"	"04015"	15	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Navajo County, AZ"	"04017"	26	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Pima County, AZ"	"04019"	98	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Pinal County, AZ"	"04021"	18	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Jefferson County, AR"	"05069"	16	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Pulaski County, AR"	"05119"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Alameda County, CA"	"06001"	57	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Contra Costa County, CA"	"06013"	23	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Fresno County, CA"	"06019"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Kern County, CA"	"06029"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Los Angeles County, CA"	"06037"	1108	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Orange County, CA"	"06059"	54	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Riverside County, CA"	"06065"	151	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Sacramento County, CA"	"06067"	31	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"San Bernardino County, CA"	"06071"	96	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"San Diego County, CA"	"06073"	130	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"San Francisco County, CA"	"06075"	23	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"San Joaquin County, CA"	"06077"	18	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"San Mateo County, CA"	"06081"	40	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Santa Clara County, CA"	"06085"	69	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Stanislaus County, CA"	"06099"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Tulare County, CA"	"06107"	32	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Ventura County, CA"	"06111"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Yolo County, CA"	"06113"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Adams County, CO"	"08001"	67	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Arapahoe County, CO"	"08005"	183	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Boulder County, CO"	"08013"	35	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Denver County, CO"	"08031"	187	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Douglas County, CO"	"08035"	30	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"El Paso County, CO"	"08041"	53	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Jefferson County, CO"	"08059"	76	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Larimer County, CO"	"08069"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Morgan County, CO"	"08087"	26	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Weld County, CO"	"08123"	85	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Fairfield County, CT"	"09001"	791	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Hartford County, CT"	"09003"	708	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Litchfield County, CT"	"09005"	99	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Middlesex County, CT"	"09007"	82	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"New Haven County, CT"	"09009"	540	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"New London County, CT"	"09011"	53	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Tolland County, CT"	"09013"	32	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Kent County, DE"	"10001"	31	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"New Castle County, DE"	"10003"	82	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Sussex County, DE"	"10005"	81	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"District of Columbia, DC"	"11001"	234	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Brevard County, FL"	"12009"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Broward County, FL"	"12011"	181	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Charlotte County, FL"	"12015"	25	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Collier County, FL"	"12021"	23	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Duval County, FL"	"12031"	20	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Escambia County, FL"	"12033"	15	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Hillsborough County, FL"	"12057"	22	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Indian River County, FL"	"12061"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lake County, FL"	"12069"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lee County, FL"	"12071"	33	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Manatee County, FL"	"12081"	54	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Miami-Dade County, FL"	"12086"	326	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Orange County, FL"	"12095"	35	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Osceola County, FL"	"12097"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Palm Beach County, FL"	"12099"	155	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Pinellas County, FL"	"12103"	28	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Polk County, FL"	"12105"	21	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Lucie County, FL"	"12111"	26	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Sarasota County, FL"	"12115"	39	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Sumter County, FL"	"12119"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Suwannee County, FL"	"12121"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Volusia County, FL"	"12127"	22	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Bartow County, GA"	"13015"	24	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Bibb County, GA"	"13021"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Butts County, GA"	"13035"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Carroll County, GA"	"13045"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Clayton County, GA"	"13063"	32	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Cobb County, GA"	"13067"	68	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Coffee County, GA"	"13069"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"DeKalb County, GA"	"13089"	60	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Dougherty County, GA"	"13095"	76	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Early County, GA"	"13099"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Fulton County, GA"	"13121"	114	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Gwinnett County, GA"	"13135"	57	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Hall County, GA"	"13139"	20	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Henry County, GA"	"13151"	18	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Mitchell County, GA"	"13205"	20	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Newton County, GA"	"13217"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Randolph County, GA"	"13243"	17	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Richmond County, GA"	"13245"	15	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Spalding County, GA"	"13255"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Sumter County, GA"	"13261"	26	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Thomas County, GA"	"13275"	23	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Upson County, GA"	"13293"	15	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Worth County, GA"	"13321"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Ada County, ID"	"16001"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Nez Perce County, ID"	"16069"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Twin Falls County, ID"	"16083"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Cook County, IL"	"17031"	1699	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"DuPage County, IL"	"17043"	159	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Kane County, IL"	"17089"	52	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Kankakee County, IL"	"17091"	23	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lake County, IL"	"17097"	124	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"McHenry County, IL"	"17111"	44	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Macon County, IL"	"17115"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Madison County, IL"	"17119"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Clair County, IL"	"17163"	39	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Sangamon County, IL"	"17167"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Will County, IL"	"17197"	132	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Winnebago County, IL"	"17201"	15	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Allen County, IN"	"18003"	45	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Bartholomew County, IN"	"18005"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Boone County, IN"	"18011"	27	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Clark County, IN"	"18019"	20	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Daviess County, IN"	"18027"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Decatur County, IN"	"18031"	22	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Delaware County, IN"	"18035"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Floyd County, IN"	"18043"	17	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Grant County, IN"	"18053"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Hamilton County, IN"	"18057"	53	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Hancock County, IN"	"18059"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Hendricks County, IN"	"18063"	45	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Johnson County, IN"	"18081"	64	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lake County, IN"	"18089"	91	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lawrence County, IN"	"18093"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Madison County, IN"	"18095"	53	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Marion County, IN"	"18097"	329	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Monroe County, IN"	"18105"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Joseph County, IN"	"18141"	20	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Shelby County, IN"	"18145"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Black Hawk County, IA"	"19013"	15	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Linn County, IA"	"19113"	45	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Muscatine County, IA"	"19139"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Polk County, IA"	"19153"	38	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Johnson County, KS"	"20091"	35	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Wyandotte County, KS"	"20209"	49	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Adair County, KY"	"21001"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Graves County, KY"	"21083"	12	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Hopkins County, KY"	"21107"	20	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Jefferson County, KY"	"21111"	88	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Kenton County, KY"	"21117"	15	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Acadia Parish, LA"	"22001"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Ascension Parish, LA"	"22005"	32	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Bienville Parish, LA"	"22013"	16	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Bossier Parish, LA"	"22015"	17	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Caddo Parish, LA"	"22017"	110	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Calcasieu Parish, LA"	"22019"	26	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"De Soto Parish, LA"	"22031"	11	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"East Baton Rouge Parish, LA"	"22033"	144	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"East Feliciana Parish, LA"	"22037"	17	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Iberia Parish, LA"	"22045"	16	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Iberville Parish, LA"	"22047"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Jefferson Parish, LA"	"22051"	282	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lafayette Parish, LA"	"22055"	17	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lafourche Parish, LA"	"22057"	48	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Lincoln Parish, LA"	"22061"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Livingston Parish, LA"	"22063"	17	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Orleans Parish, LA"	"22071"	273	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Ouachita Parish, LA"	"22073"	24	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Pointe Coupee Parish, LA"	"22077"	14	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Bernard Parish, LA"	"22087"	18	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Charles Parish, LA"	"22089"	26	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. James Parish, LA"	"22093"	16	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. John the Baptist Parish, LA"	"22095"	39	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Landry Parish, LA"	"22097"	31	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Martin Parish, LA"	"22099"	24	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Mary Parish, LA"	"22101"	27	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"St. Tammany Parish, LA"	"22103"	87	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Tangipahoa Parish, LA"	"22105"	25	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Terrebonne Parish, LA"	"22109"	27	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Washington Parish, LA"	"22117"	16	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"West Baton Rouge Parish, LA"	"22121"	16	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Cumberland County, ME"	"23005"	23	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Waldo County, ME"	"23027"	13	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"York County, ME"	"23031"	10	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Anne Arundel County, MD"	"24003"	94	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Baltimore County, MD"	"24005"	125	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Carroll County, MD"	"24013"	43	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Charles County, MD"	"24017"	52	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Frederick County, MD"	"24021"	58	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Harford County, MD"	"24025"	15	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Howard County, MD"	"24027"	19	Not Applicable	Not Applicable
	"Apr., 2020"	"2020/04"	"Montgomery County, MD"	"24031"	278	Not Applicable	Not Applicable
