"Notes"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Riverside County, CA"	"06065"	"2021 (provisional)"	"2021"	243	Not Applicable	Not Applicable
	"Sacramento County, CA"	"06067"	"2021 (provisional)"	"2021"	137	Not Applicable	Not Applicable
	"San Bernardino County, CA"	"06071"	"2021 (provisional)"	"2021"	248	Not Applicable	Not Applicable
	"San Diego County, CA"	"06073"	"2021 (provisional)"	"2021"	262	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"2021 (provisional)"	"2021"	27	Not Applicable	Not Applicable
	"San Joaquin County, CA"	"06077"	"2021 (provisional)"	"2021"	114	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"2021 (provisional)"	"2021"	35	Not Applicable	Not Applicable
	"Santa Barbara County, CA"	"06083"	"2021 (provisional)"	"2021"	26	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	"2021 (provisional)"	"2021"	106	Not Applicable	Not Applicable
	"Santa Cruz County, CA"	"06087"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Shasta County, CA"	"06089"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Siskiyou County, CA"	"06093"	"2021 (provisional)"	"2021"	19	Not Applicable	Not Applicable
	"Solano County, CA"	"06095"	"2021 (provisional)"	"2021"	30	Not Applicable	Not Applicable
	"Sonoma County, CA"	"06097"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Stanislaus County, CA"	"06099"	"2021 (provisional)"	"2021"	118	Not Applicable	Not Applicable
	"Sutter County, CA"	"06101"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Tulare County, CA"	"06107"	"2021 (provisional)"	"2021"	54	Not Applicable	Not Applicable
	"Tuolumne County, CA"	"06109"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Ventura County, CA"	"06111"	"2021 (provisional)"	"2021"	63	Not Applicable	Not Applicable
	"Yolo County, CA"	"06113"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	"2021 (provisional)"	"2021"	64	Not Applicable	Not Applicable
	"Arapahoe County, CO"	"08005"	"2021 (provisional)"	"2021"	72	Not Applicable	Not Applicable
	"Boulder County, CO"	"08013"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Conejos County, CO"	"08021"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Delta County, CO"	"08029"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Denver County, CO"	"08031"	"2021 (provisional)"	"2021"	81	Not Applicable	Not Applicable
	"Douglas County, CO"	"08035"	"2021 (provisional)"	"2021"	33	Not Applicable	Not Applicable
	"El Paso County, CO"	"08041"	"2021 (provisional)"	"2021"	135	Not Applicable	Not Applicable
	"Fremont County, CO"	"08043"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Jefferson County, CO"	"08059"	"2021 (provisional)"	"2021"	75	Not Applicable	Not Applicable
	"Larimer County, CO"	"08069"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Mesa County, CO"	"08077"	"2021 (provisional)"	"2021"	44	Not Applicable	Not Applicable
	"Montrose County, CO"	"08085"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Pueblo County, CO"	"08101"	"2021 (provisional)"	"2021"	51	Not Applicable	Not Applicable
	"Weld County, CO"	"08123"	"2021 (provisional)"	"2021"	37	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"2021 (provisional)"	"2021"	107	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	"2021 (provisional)"	"2021"	124	Not Applicable	Not Applicable
	"Litchfield County, CT"	"09005"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Middlesex County, CT"	"09007"	"2021 (provisional)"	"2021"	23	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	"2021 (provisional)"	"2021"	171	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	"2021 (provisional)"	"2021"	28	Not Applicable	Not Applicable
	"Tolland County, CT"	"09013"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	"2021 (provisional)"	"2021"	34	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	"2021 (provisional)"	"2021"	89	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	"2021 (provisional)"	"2021"	45	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"2021 (provisional)"	"2021"	114	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	"2021 (provisional)"	"2021"	35	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	"2021 (provisional)"	"2021"	33	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	"2021 (provisional)"	"2021"	142	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	"2021 (provisional)"	"2021"	499	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	"2021 (provisional)"	"2021"	52	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	"2021 (provisional)"	"2021"	56	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	"2021 (provisional)"	"2021"	38	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	"2021 (provisional)"	"2021"	86	Not Applicable	Not Applicable
	"DeSoto County, FL"	"12027"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	"2021 (provisional)"	"2021"	166	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	"2021 (provisional)"	"2021"	45	Not Applicable	Not Applicable
	"Flagler County, FL"	"12035"	"2021 (provisional)"	"2021"	19	Not Applicable	Not Applicable
	"Hardee County, FL"	"12049"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Hendry County, FL"	"12051"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	"2021 (provisional)"	"2021"	59	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	"2021 (provisional)"	"2021"	46	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	"2021 (provisional)"	"2021"	258	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	"2021 (provisional)"	"2021"	33	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	"2021 (provisional)"	"2021"	78	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	"2021 (provisional)"	"2021"	124	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	"2021 (provisional)"	"2021"	28	Not Applicable	Not Applicable
	"Levy County, FL"	"12075"	"2021 (provisional)"	"2021"	19	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	"2021 (provisional)"	"2021"	86	Not Applicable	Not Applicable
	"Marion County, FL"	"12083"	"2021 (provisional)"	"2021"	123	Not Applicable	Not Applicable
	"Martin County, FL"	"12085"	"2021 (provisional)"	"2021"	29	Not Applicable	Not Applicable
	"Miami-Dade County, FL"	"12086"	"2021 (provisional)"	"2021"	811	Not Applicable	Not Applicable
	"Nassau County, FL"	"12089"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Okaloosa County, FL"	"12091"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Orange County, FL"	"12095"	"2021 (provisional)"	"2021"	173	Not Applicable	Not Applicable
	"Osceola County, FL"	"12097"	"2021 (provisional)"	"2021"	83	Not Applicable	Not Applicable
	"Palm Beach County, FL"	"12099"	"2021 (provisional)"	"2021"	305	Not Applicable	Not Applicable
	"Pasco County, FL"	"12101"	"2021 (provisional)"	"2021"	122	Not Applicable	Not Applicable
	"Pinellas County, FL"	"12103"	"2021 (provisional)"	"2021"	165	Not Applicable	Not Applicable
	"Polk County, FL"	"12105"	"2021 (provisional)"	"2021"	204	Not Applicable	Not Applicable
	"Putnam County, FL"	"12107"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"St. Johns County, FL"	"12109"	"2021 (provisional)"	"2021"	26	Not Applicable	Not Applicable
	"St. Lucie County, FL"	"12111"	"2021 (provisional)"	"2021"	82	Not Applicable	Not Applicable
	"Santa Rosa County, FL"	"12113"	"2021 (provisional)"	"2021"	20	Not Applicable	Not Applicable
	"Sarasota County, FL"	"12115"	"2021 (provisional)"	"2021"	75	Not Applicable	Not Applicable
	"Seminole County, FL"	"12117"	"2021 (provisional)"	"2021"	79	Not Applicable	Not Applicable
	"Sumter County, FL"	"12119"	"2021 (provisional)"	"2021"	52	Not Applicable	Not Applicable
	"Volusia County, FL"	"12127"	"2021 (provisional)"	"2021"	165	Not Applicable	Not Applicable
	"Walton County, FL"	"12131"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Barrow County, GA"	"13013"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Bartow County, GA"	"13015"	"2021 (provisional)"	"2021"	18	Not Applicable	Not Applicable
	"Bibb County, GA"	"13021"	"2021 (provisional)"	"2021"	27	Not Applicable	Not Applicable
	"Bulloch County, GA"	"13031"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Carroll County, GA"	"13045"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Catoosa County, GA"	"13047"	"2021 (provisional)"	"2021"	28	Not Applicable	Not Applicable
	"Chatham County, GA"	"13051"	"2021 (provisional)"	"2021"	48	Not Applicable	Not Applicable
	"Cherokee County, GA"	"13057"	"2021 (provisional)"	"2021"	34	Not Applicable	Not Applicable
	"Clarke County, GA"	"13059"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Clayton County, GA"	"13063"	"2021 (provisional)"	"2021"	65	Not Applicable	Not Applicable
	"Cobb County, GA"	"13067"	"2021 (provisional)"	"2021"	75	Not Applicable	Not Applicable
	"Columbia County, GA"	"13073"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Coweta County, GA"	"13077"	"2021 (provisional)"	"2021"	27	Not Applicable	Not Applicable
	"Crisp County, GA"	"13081"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"DeKalb County, GA"	"13089"	"2021 (provisional)"	"2021"	64	Not Applicable	Not Applicable
	"Dougherty County, GA"	"13095"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Douglas County, GA"	"13097"	"2021 (provisional)"	"2021"	25	Not Applicable	Not Applicable
	"Fayette County, GA"	"13113"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Floyd County, GA"	"13115"	"2021 (provisional)"	"2021"	25	Not Applicable	Not Applicable
	"Forsyth County, GA"	"13117"	"2021 (provisional)"	"2021"	18	Not Applicable	Not Applicable
	"Fulton County, GA"	"13121"	"2021 (provisional)"	"2021"	123	Not Applicable	Not Applicable
	"Glynn County, GA"	"13127"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Gordon County, GA"	"13129"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Gwinnett County, GA"	"13135"	"2021 (provisional)"	"2021"	120	Not Applicable	Not Applicable
	"Hall County, GA"	"13139"	"2021 (provisional)"	"2021"	31	Not Applicable	Not Applicable
	"Henry County, GA"	"13151"	"2021 (provisional)"	"2021"	36	Not Applicable	Not Applicable
	"Houston County, GA"	"13153"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Liberty County, GA"	"13179"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Lowndes County, GA"	"13185"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Murray County, GA"	"13213"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Muscogee County, GA"	"13215"	"2021 (provisional)"	"2021"	49	Not Applicable	Not Applicable
	"Newton County, GA"	"13217"	"2021 (provisional)"	"2021"	32	Not Applicable	Not Applicable
	"Paulding County, GA"	"13223"	"2021 (provisional)"	"2021"	22	Not Applicable	Not Applicable
	"Richmond County, GA"	"13245"	"2021 (provisional)"	"2021"	42	Not Applicable	Not Applicable
	"Rockdale County, GA"	"13247"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Spalding County, GA"	"13255"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Troup County, GA"	"13285"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Walker County, GA"	"13295"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Walton County, GA"	"13297"	"2021 (provisional)"	"2021"	20	Not Applicable	Not Applicable
	"Whitfield County, GA"	"13313"	"2021 (provisional)"	"2021"	20	Not Applicable	Not Applicable
	"Honolulu County, HI"	"15003"	"2021 (provisional)"	"2021"	40	Not Applicable	Not Applicable
	"Maui County, HI"	"15009"	"2021 (provisional)"	"2021"	18	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	"2021 (provisional)"	"2021"	40	Not Applicable	Not Applicable
	"Bannock County, ID"	"16005"	"2021 (provisional)"	"2021"	17	Not Applicable	Not Applicable
	"Bingham County, ID"	"16011"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Bonneville County, ID"	"16019"	"2021 (provisional)"	"2021"	28	Not Applicable	Not Applicable
	"Canyon County, ID"	"16027"	"2021 (provisional)"	"2021"	25	Not Applicable	Not Applicable
	"Kootenai County, ID"	"16055"	"2021 (provisional)"	"2021"	22	Not Applicable	Not Applicable
	"Bureau County, IL"	"17011"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Champaign County, IL"	"17019"	"2021 (provisional)"	"2021"	25	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2021 (provisional)"	"2021"	1081	Not Applicable	Not Applicable
	"DuPage County, IL"	"17043"	"2021 (provisional)"	"2021"	92	Not Applicable	Not Applicable
	"Franklin County, IL"	"17055"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Fulton County, IL"	"17057"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Kane County, IL"	"17089"	"2021 (provisional)"	"2021"	72	Not Applicable	Not Applicable
	"Kankakee County, IL"	"17091"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Kendall County, IL"	"17093"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Knox County, IL"	"17095"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Lake County, IL"	"17097"	"2021 (provisional)"	"2021"	73	Not Applicable	Not Applicable
	"LaSalle County, IL"	"17099"	"2021 (provisional)"	"2021"	23	Not Applicable	Not Applicable
	"Livingston County, IL"	"17105"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"McDonough County, IL"	"17109"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"McHenry County, IL"	"17111"	"2021 (provisional)"	"2021"	23	Not Applicable	Not Applicable
	"McLean County, IL"	"17113"	"2021 (provisional)"	"2021"	30	Not Applicable	Not Applicable
	"Macon County, IL"	"17115"	"2021 (provisional)"	"2021"	31	Not Applicable	Not Applicable
	"Madison County, IL"	"17119"	"2021 (provisional)"	"2021"	46	Not Applicable	Not Applicable
	"Peoria County, IL"	"17143"	"2021 (provisional)"	"2021"	81	Not Applicable	Not Applicable
	"Rock Island County, IL"	"17161"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"St. Clair County, IL"	"17163"	"2021 (provisional)"	"2021"	31	Not Applicable	Not Applicable
	"Sangamon County, IL"	"17167"	"2021 (provisional)"	"2021"	19	Not Applicable	Not Applicable
	"Stephenson County, IL"	"17177"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Tazewell County, IL"	"17179"	"2021 (provisional)"	"2021"	50	Not Applicable	Not Applicable
	"Vermilion County, IL"	"17183"	"2021 (provisional)"	"2021"	30	Not Applicable	Not Applicable
	"Whiteside County, IL"	"17195"	"2021 (provisional)"	"2021"	22	Not Applicable	Not Applicable
	"Will County, IL"	"17197"	"2021 (provisional)"	"2021"	103	Not Applicable	Not Applicable
	"Williamson County, IL"	"17199"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Winnebago County, IL"	"17201"	"2021 (provisional)"	"2021"	54	Not Applicable	Not Applicable
	"Woodford County, IL"	"17203"	"2021 (provisional)"	"2021"	26	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	"2021 (provisional)"	"2021"	35	Not Applicable	Not Applicable
	"Boone County, IN"	"18011"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Cass County, IN"	"18017"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Clark County, IN"	"18019"	"2021 (provisional)"	"2021"	20	Not Applicable	Not Applicable
	"Delaware County, IN"	"18035"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	"2021 (provisional)"	"2021"	40	Not Applicable	Not Applicable
	"Floyd County, IN"	"18043"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Grant County, IN"	"18053"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Hancock County, IN"	"18059"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Hendricks County, IN"	"18063"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Henry County, IN"	"18065"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Howard County, IN"	"18067"	"2021 (provisional)"	"2021"	18	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Kosciusko County, IN"	"18085"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	"2021 (provisional)"	"2021"	101	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	"2021 (provisional)"	"2021"	108	Not Applicable	Not Applicable
	"Marshall County, IN"	"18099"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Monroe County, IN"	"18105"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Montgomery County, IN"	"18107"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	"2021 (provisional)"	"2021"	32	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	"2021 (provisional)"	"2021"	37	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Black Hawk County, IA"	"19013"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Dubuque County, IA"	"19061"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Linn County, IA"	"19113"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Muscatine County, IA"	"19139"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Polk County, IA"	"19153"	"2021 (provisional)"	"2021"	53	Not Applicable	Not Applicable
	"Pottawattamie County, IA"	"19155"	"2021 (provisional)"	"2021"	18	Not Applicable	Not Applicable
	"Scott County, IA"	"19163"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Wapello County, IA"	"19179"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Woodbury County, IA"	"19193"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Johnson County, KS"	"20091"	"2021 (provisional)"	"2021"	43	Not Applicable	Not Applicable
	"Sedgwick County, KS"	"20173"	"2021 (provisional)"	"2021"	63	Not Applicable	Not Applicable
	"Shawnee County, KS"	"20177"	"2021 (provisional)"	"2021"	17	Not Applicable	Not Applicable
	"Wyandotte County, KS"	"20209"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Barren County, KY"	"21009"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Boone County, KY"	"21015"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Bullitt County, KY"	"21029"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Christian County, KY"	"21047"	"2021 (provisional)"	"2021"	20	Not Applicable	Not Applicable
	"Daviess County, KY"	"21059"	"2021 (provisional)"	"2021"	23	Not Applicable	Not Applicable
