"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Mobile County, AL"	"01097"	302	Not Applicable	Not Applicable
	"Monroe County, AL"	"01099"	18	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	191	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	39	Not Applicable	Not Applicable
	"Perry County, AL"	"01105"	12	Not Applicable	Not Applicable
	"Pickens County, AL"	"01107"	13	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	22	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	15	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	42	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	50	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	65	Not Applicable	Not Applicable
	"Sumter County, AL"	"01119"	21	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	49	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	54	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	114	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	82	Not Applicable	Not Applicable
	"Washington County, AL"	"01129"	14	Not Applicable	Not Applicable
	"Wilcox County, AL"	"01131"	22	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	12	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	20	Not Applicable	Not Applicable
	"Apache County, AZ"	"04001"	178	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	64	Not Applicable	Not Applicable
	"Coconino County, AZ"	"04005"	125	Not Applicable	Not Applicable
	"Gila County, AZ"	"04007"	48	Not Applicable	Not Applicable
	"Graham County, AZ"	"04009"	20	Not Applicable	Not Applicable
	"La Paz County, AZ"	"04012"	14	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	2522	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	180	Not Applicable	Not Applicable
	"Navajo County, AZ"	"04017"	222	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	524	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	179	Not Applicable	Not Applicable
	"Santa Cruz County, AZ"	"04023"	49	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	76	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	313	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	63	Not Applicable	Not Applicable
	"Chicot County, AR"	"05017"	15	Not Applicable	Not Applicable
	"Craighead County, AR"	"05031"	11	Not Applicable	Not Applicable
	"Crawford County, AR"	"05033"	12	Not Applicable	Not Applicable
	"Crittenden County, AR"	"05035"	28	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	13	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	36	Not Applicable	Not Applicable
	"Hot Spring County, AR"	"05059"	18	Not Applicable	Not Applicable
	"Howard County, AR"	"05061"	10	Not Applicable	Not Applicable
	"Jefferson County, AR"	"05069"	56	Not Applicable	Not Applicable
	"Lincoln County, AR"	"05079"	13	Not Applicable	Not Applicable
	"Little River County, AR"	"05081"	19	Not Applicable	Not Applicable
	"Lonoke County, AR"	"05085"	10	Not Applicable	Not Applicable
	"Miller County, AR"	"05091"	21	Not Applicable	Not Applicable
	"Mississippi County, AR"	"05093"	35	Not Applicable	Not Applicable
	"Nevada County, AR"	"05099"	11	Not Applicable	Not Applicable
	"Newton County, AR"	"05101"	10	Not Applicable	Not Applicable
	"Phillips County, AR"	"05107"	12	Not Applicable	Not Applicable
	"Pope County, AR"	"05115"	18	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	98	Not Applicable	Not Applicable
	"Randolph County, AR"	"05121"	17	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	14	Not Applicable	Not Applicable
	"Sebastian County, AR"	"05131"	33	Not Applicable	Not Applicable
	"Sevier County, AR"	"05133"	19	Not Applicable	Not Applicable
	"Union County, AR"	"05139"	32	Not Applicable	Not Applicable
	"Washington County, AR"	"05143"	92	Not Applicable	Not Applicable
	"White County, AR"	"05145"	12	Not Applicable	Not Applicable
	"Yell County, AR"	"05149"	18	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	277	Not Applicable	Not Applicable
	"Amador County, CA"	"06005"	11	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	24	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	174	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	373	Not Applicable	Not Applicable
	"Imperial County, CA"	"06025"	321	Not Applicable	Not Applicable
	"Inyo County, CA"	"06027"	15	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	325	Not Applicable	Not Applicable
	"Kings County, CA"	"06031"	67	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	5322	Not Applicable	Not Applicable
	"Madera County, CA"	"06039"	85	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	71	Not Applicable	Not Applicable
	"Mendocino County, CA"	"06045"	19	Not Applicable	Not Applicable
	"Merced County, CA"	"06047"	115	Not Applicable	Not Applicable
	"Monterey County, CA"	"06053"	62	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	14	Not Applicable	Not Applicable
	"Orange County, CA"	"06059"	1036	Not Applicable	Not Applicable
	"Placer County, CA"	"06061"	30	Not Applicable	Not Applicable
	"Riverside County, CA"	"06065"	1156	Not Applicable	Not Applicable
	"Sacramento County, CA"	"06067"	318	Not Applicable	Not Applicable
	"San Bernardino County, CA"	"06071"	947	Not Applicable	Not Applicable
	"San Diego County, CA"	"06073"	688	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	87	Not Applicable	Not Applicable
	"San Joaquin County, CA"	"06077"	396	Not Applicable	Not Applicable
	"San Luis Obispo County, CA"	"06079"	28	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	131	Not Applicable	Not Applicable
	"Santa Barbara County, CA"	"06083"	100	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	243	Not Applicable	Not Applicable
	"Shasta County, CA"	"06089"	14	Not Applicable	Not Applicable
	"Solano County, CA"	"06095"	70	Not Applicable	Not Applicable
	"Sonoma County, CA"	"06097"	74	Not Applicable	Not Applicable
	"Stanislaus County, CA"	"06099"	282	Not Applicable	Not Applicable
	"Tulare County, CA"	"06107"	210	Not Applicable	Not Applicable
	"Ventura County, CA"	"06111"	133	Not Applicable	Not Applicable
	"Yolo County, CA"	"06113"	42	Not Applicable	Not Applicable
	"Adams County, CO"	"08001"	184	Not Applicable	Not Applicable
	"Arapahoe County, CO"	"08005"	308	Not Applicable	Not Applicable
	"Boulder County, CO"	"08013"	61	Not Applicable	Not Applicable
	"Broomfield County, CO"	"08014"	25	Not Applicable	Not Applicable
	"Chaffee County, CO"	"08015"	12	Not Applicable	Not Applicable
	"Denver County, CO"	"08031"	355	Not Applicable	Not Applicable
	"Douglas County, CO"	"08035"	56	Not Applicable	Not Applicable
	"El Paso County, CO"	"08041"	145	Not Applicable	Not Applicable
	"Jefferson County, CO"	"08059"	180	Not Applicable	Not Applicable
	"Larimer County, CO"	"08069"	33	Not Applicable	Not Applicable
	"Morgan County, CO"	"08087"	41	Not Applicable	Not Applicable
	"Pueblo County, CO"	"08101"	22	Not Applicable	Not Applicable
	"Weld County, CO"	"08123"	140	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	1312	Not Applicable	Not Applicable
	"Hartford County, CT"	"09003"	1272	Not Applicable	Not Applicable
	"Litchfield County, CT"	"09005"	153	Not Applicable	Not Applicable
	"Middlesex County, CT"	"09007"	161	Not Applicable	Not Applicable
	"New Haven County, CT"	"09009"	1040	Not Applicable	Not Applicable
	"New London County, CT"	"09011"	118	Not Applicable	Not Applicable
	"Tolland County, CT"	"09013"	72	Not Applicable	Not Applicable
	"Windham County, CT"	"09015"	20	Not Applicable	Not Applicable
	"Kent County, DE"	"10001"	103	Not Applicable	Not Applicable
	"New Castle County, DE"	"10003"	270	Not Applicable	Not Applicable
	"Sussex County, DE"	"10005"	201	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	638	Not Applicable	Not Applicable
	"Alachua County, FL"	"12001"	60	Not Applicable	Not Applicable
	"Baker County, FL"	"12003"	11	Not Applicable	Not Applicable
	"Bay County, FL"	"12005"	86	Not Applicable	Not Applicable
	"Brevard County, FL"	"12009"	262	Not Applicable	Not Applicable
	"Broward County, FL"	"12011"	1278	Not Applicable	Not Applicable
	"Charlotte County, FL"	"12015"	118	Not Applicable	Not Applicable
	"Citrus County, FL"	"12017"	64	Not Applicable	Not Applicable
	"Clay County, FL"	"12019"	75	Not Applicable	Not Applicable
	"Collier County, FL"	"12021"	192	Not Applicable	Not Applicable
	"Columbia County, FL"	"12023"	45	Not Applicable	Not Applicable
	"DeSoto County, FL"	"12027"	26	Not Applicable	Not Applicable
	"Duval County, FL"	"12031"	395	Not Applicable	Not Applicable
	"Escambia County, FL"	"12033"	211	Not Applicable	Not Applicable
	"Flagler County, FL"	"12035"	21	Not Applicable	Not Applicable
	"Gadsden County, FL"	"12039"	37	Not Applicable	Not Applicable
	"Gulf County, FL"	"12045"	12	Not Applicable	Not Applicable
	"Hamilton County, FL"	"12047"	10	Not Applicable	Not Applicable
	"Hardee County, FL"	"12049"	10	Not Applicable	Not Applicable
	"Hendry County, FL"	"12051"	33	Not Applicable	Not Applicable
	"Hernando County, FL"	"12053"	100	Not Applicable	Not Applicable
	"Highlands County, FL"	"12055"	69	Not Applicable	Not Applicable
	"Hillsborough County, FL"	"12057"	571	Not Applicable	Not Applicable
	"Holmes County, FL"	"12059"	10	Not Applicable	Not Applicable
	"Indian River County, FL"	"12061"	91	Not Applicable	Not Applicable
	"Jackson County, FL"	"12063"	54	Not Applicable	Not Applicable
	"Lake County, FL"	"12069"	140	Not Applicable	Not Applicable
	"Lee County, FL"	"12071"	393	Not Applicable	Not Applicable
	"Leon County, FL"	"12073"	60	Not Applicable	Not Applicable
	"Levy County, FL"	"12075"	16	Not Applicable	Not Applicable
	"Madison County, FL"	"12079"	19	Not Applicable	Not Applicable
	"Manatee County, FL"	"12081"	264	Not Applicable	Not Applicable
	"Marion County, FL"	"12083"	199	Not Applicable	Not Applicable
	"Martin County, FL"	"12085"	112	Not Applicable	Not Applicable
	"Miami-Dade County, FL"	"12086"	2676	Not Applicable	Not Applicable
	"Monroe County, FL"	"12087"	22	Not Applicable	Not Applicable
	"Nassau County, FL"	"12089"	29	Not Applicable	Not Applicable
	"Okaloosa County, FL"	"12091"	92	Not Applicable	Not Applicable
	"Okeechobee County, FL"	"12093"	27	Not Applicable	Not Applicable
	"Orange County, FL"	"12095"	468	Not Applicable	Not Applicable
	"Osceola County, FL"	"12097"	150	Not Applicable	Not Applicable
	"Palm Beach County, FL"	"12099"	1075	Not Applicable	Not Applicable
	"Pasco County, FL"	"12101"	165	Not Applicable	Not Applicable
	"Pinellas County, FL"	"12103"	491	Not Applicable	Not Applicable
	"Polk County, FL"	"12105"	459	Not Applicable	Not Applicable
	"Putnam County, FL"	"12107"	37	Not Applicable	Not Applicable
	"St. Johns County, FL"	"12109"	58	Not Applicable	Not Applicable
	"St. Lucie County, FL"	"12111"	249	Not Applicable	Not Applicable
	"Santa Rosa County, FL"	"12113"	62	Not Applicable	Not Applicable
	"Sarasota County, FL"	"12115"	181	Not Applicable	Not Applicable
	"Seminole County, FL"	"12117"	161	Not Applicable	Not Applicable
	"Sumter County, FL"	"12119"	56	Not Applicable	Not Applicable
	"Suwannee County, FL"	"12121"	48	Not Applicable	Not Applicable
	"Union County, FL"	"12125"	12	Not Applicable	Not Applicable
	"Volusia County, FL"	"12127"	218	Not Applicable	Not Applicable
	"Walton County, FL"	"12131"	24	Not Applicable	Not Applicable
	"Washington County, FL"	"12133"	13	Not Applicable	Not Applicable
	"Appling County, GA"	"13001"	26	Not Applicable	Not Applicable
	"Baldwin County, GA"	"13009"	27	Not Applicable	Not Applicable
	"Barrow County, GA"	"13013"	32	Not Applicable	Not Applicable
	"Bartow County, GA"	"13015"	69	Not Applicable	Not Applicable
	"Ben Hill County, GA"	"13017"	19	Not Applicable	Not Applicable
	"Berrien County, GA"	"13019"	19	Not Applicable	Not Applicable
	"Bibb County, GA"	"13021"	126	Not Applicable	Not Applicable
	"Bleckley County, GA"	"13023"	17	Not Applicable	Not Applicable
	"Brantley County, GA"	"13025"	14	Not Applicable	Not Applicable
	"Brooks County, GA"	"13027"	20	Not Applicable	Not Applicable
	"Bulloch County, GA"	"13031"	30	Not Applicable	Not Applicable
	"Burke County, GA"	"13033"	16	Not Applicable	Not Applicable
	"Butts County, GA"	"13035"	33	Not Applicable	Not Applicable
	"Camden County, GA"	"13039"	11	Not Applicable	Not Applicable
	"Candler County, GA"	"13043"	17	Not Applicable	Not Applicable
	"Carroll County, GA"	"13045"	45	Not Applicable	Not Applicable
	"Catoosa County, GA"	"13047"	15	Not Applicable	Not Applicable
	"Chatham County, GA"	"13051"	108	Not Applicable	Not Applicable
	"Chattooga County, GA"	"13055"	10	Not Applicable	Not Applicable
	"Cherokee County, GA"	"13057"	62	Not Applicable	Not Applicable
	"Clarke County, GA"	"13059"	21	Not Applicable	Not Applicable
	"Clayton County, GA"	"13063"	116	Not Applicable	Not Applicable
	"Cobb County, GA"	"13067"	289	Not Applicable	Not Applicable
	"Coffee County, GA"	"13069"	41	Not Applicable	Not Applicable
	"Colquitt County, GA"	"13071"	29	Not Applicable	Not Applicable
	"Columbia County, GA"	"13073"	53	Not Applicable	Not Applicable
	"Cook County, GA"	"13075"	15	Not Applicable	Not Applicable
	"Coweta County, GA"	"13077"	35	Not Applicable	Not Applicable
	"Crisp County, GA"	"13081"	16	Not Applicable	Not Applicable
	"Decatur County, GA"	"13087"	15	Not Applicable	Not Applicable
	"DeKalb County, GA"	"13089"	303	Not Applicable	Not Applicable
	"Dodge County, GA"	"13091"	16	Not Applicable	Not Applicable
	"Dooly County, GA"	"13093"	11	Not Applicable	Not Applicable
	"Dougherty County, GA"	"13095"	146	Not Applicable	Not Applicable
	"Douglas County, GA"	"13097"	60	Not Applicable	Not Applicable
	"Early County, GA"	"13099"	25	Not Applicable	Not Applicable
	"Effingham County, GA"	"13103"	17	Not Applicable	Not Applicable
	"Emanuel County, GA"	"13107"	23	Not Applicable	Not Applicable
	"Fayette County, GA"	"13113"	35	Not Applicable	Not Applicable
	"Floyd County, GA"	"13115"	35	Not Applicable	Not Applicable
	"Forsyth County, GA"	"13117"	36	Not Applicable	Not Applicable
	"Franklin County, GA"	"13119"	18	Not Applicable	Not Applicable
	"Fulton County, GA"	"13121"	469	Not Applicable	Not Applicable
	"Glynn County, GA"	"13127"	63	Not Applicable	Not Applicable
	"Gordon County, GA"	"13129"	26	Not Applicable	Not Applicable
	"Grady County, GA"	"13131"	24	Not Applicable	Not Applicable
	"Greene County, GA"	"13133"	15	Not Applicable	Not Applicable
	"Gwinnett County, GA"	"13135"	331	Not Applicable	Not Applicable
	"Habersham County, GA"	"13137"	41	Not Applicable	Not Applicable
	"Hall County, GA"	"13139"	91	Not Applicable	Not Applicable
	"Hancock County, GA"	"13141"	32	Not Applicable	Not Applicable
	"Harris County, GA"	"13145"	20	Not Applicable	Not Applicable
	"Hart County, GA"	"13147"	19	Not Applicable	Not Applicable
	"Henry County, GA"	"13151"	93	Not Applicable	Not Applicable
	"Houston County, GA"	"13153"	50	Not Applicable	Not Applicable
	"Jackson County, GA"	"13157"	27	Not Applicable	Not Applicable
	"Jeff Davis County, GA"	"13161"	13	Not Applicable	Not Applicable
	"Jefferson County, GA"	"13163"	19	Not Applicable	Not Applicable
	"Jenkins County, GA"	"13165"	19	Not Applicable	Not Applicable
	"Johnson County, GA"	"13167"	16	Not Applicable	Not Applicable
	"Jones County, GA"	"13169"	12	Not Applicable	Not Applicable
	"Lamar County, GA"	"13171"	17	Not Applicable	Not Applicable
	"Laurens County, GA"	"13175"	53	Not Applicable	Not Applicable
	"Lee County, GA"	"13177"	22	Not Applicable	Not Applicable
	"Liberty County, GA"	"13179"	24	Not Applicable	Not Applicable
	"Lincoln County, GA"	"13181"	10	Not Applicable	Not Applicable
	"Lowndes County, GA"	"13185"	72	Not Applicable	Not Applicable
	"McDuffie County, GA"	"13189"	10	Not Applicable	Not Applicable
	"Madison County, GA"	"13195"	14	Not Applicable	Not Applicable
	"Meriwether County, GA"	"13199"	10	Not Applicable	Not Applicable
	"Mitchell County, GA"	"13205"	36	Not Applicable	Not Applicable
	"Monroe County, GA"	"13207"	27	Not Applicable	Not Applicable
	"Muscogee County, GA"	"13215"	124	Not Applicable	Not Applicable
	"Newton County, GA"	"13217"	55	Not Applicable	Not Applicable
	"Oconee County, GA"	"13219"	13	Not Applicable	Not Applicable
	"Paulding County, GA"	"13223"	47	Not Applicable	Not Applicable
	"Peach County, GA"	"13225"	22	Not Applicable	Not Applicable
	"Pierce County, GA"	"13229"	18	Not Applicable	Not Applicable
	"Pike County, GA"	"13231"	20	Not Applicable	Not Applicable
	"Polk County, GA"	"13233"	14	Not Applicable	Not Applicable
	"Pulaski County, GA"	"13235"	13	Not Applicable	Not Applicable
	"Putnam County, GA"	"13237"	20	Not Applicable	Not Applicable
	"Randolph County, GA"	"13243"	21	Not Applicable	Not Applicable
	"Richmond County, GA"	"13245"	118	Not Applicable	Not Applicable
	"Rockdale County, GA"	"13247"	34	Not Applicable	Not Applicable
	"Screven County, GA"	"13251"	12	Not Applicable	Not Applicable
	"Spalding County, GA"	"13255"	56	Not Applicable	Not Applicable
	"Stephens County, GA"	"13257"	22	Not Applicable	Not Applicable
	"Sumter County, GA"	"13261"	54	Not Applicable	Not Applicable
	"Tattnall County, GA"	"13267"	13	Not Applicable	Not Applicable
	"Telfair County, GA"	"13271"	15	Not Applicable	Not Applicable
	"Terrell County, GA"	"13273"	27	Not Applicable	Not Applicable
	"Thomas County, GA"	"13275"	53	Not Applicable	Not Applicable
	"Tift County, GA"	"13277"	49	Not Applicable	Not Applicable
	"Toombs County, GA"	"13279"	25	Not Applicable	Not Applicable
	"Troup County, GA"	"13285"	68	Not Applicable	Not Applicable
	"Turner County, GA"	"13287"	20	Not Applicable	Not Applicable
	"Twiggs County, GA"	"13289"	12	Not Applicable	Not Applicable
	"Upson County, GA"	"13293"	41	Not Applicable	Not Applicable
	"Walker County, GA"	"13295"	19	Not Applicable	Not Applicable
	"Walton County, GA"	"13297"	42	Not Applicable	Not Applicable
	"Ware County, GA"	"13299"	34	Not Applicable	Not Applicable
	"Washington County, GA"	"13303"	13	Not Applicable	Not Applicable
	"Wayne County, GA"	"13305"	22	Not Applicable	Not Applicable
	"White County, GA"	"13311"	13	Not Applicable	Not Applicable
	"Whitfield County, GA"	"13313"	49	Not Applicable	Not Applicable
	"Wilcox County, GA"	"13315"	12	Not Applicable	Not Applicable
	"Worth County, GA"	"13321"	31	Not Applicable	Not Applicable
	"Honolulu County, HI"	"15003"	79	Not Applicable	Not Applicable
	"Ada County, ID"	"16001"	124	Not Applicable	Not Applicable
	"Bonneville County, ID"	"16019"	11	Not Applicable	Not Applicable
	"Canyon County, ID"	"16027"	78	Not Applicable	Not Applicable
	"Kootenai County, ID"	"16055"	32	Not Applicable	Not Applicable
	"Nez Perce County, ID"	"16069"	17	Not Applicable	Not Applicable
	"Shoshone County, ID"	"16079"	15	Not Applicable	Not Applicable
	"Twin Falls County, ID"	"16083"	33	Not Applicable	Not Applicable
	"Boone County, IL"	"17007"	15	Not Applicable	Not Applicable
	"Cass County, IL"	"17017"	11	Not Applicable	Not Applicable
	"Champaign County, IL"	"17019"	17	Not Applicable	Not Applicable
	"Coles County, IL"	"17029"	16	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	4752	Not Applicable	Not Applicable
	"DeKalb County, IL"	"17037"	24	Not Applicable	Not Applicable
	"DuPage County, IL"	"17043"	435	Not Applicable	Not Applicable
	"Iroquois County, IL"	"17075"	13	Not Applicable	Not Applicable
	"Jackson County, IL"	"17077"	26	Not Applicable	Not Applicable
	"Jefferson County, IL"	"17081"	18	Not Applicable	Not Applicable
	"Kane County, IL"	"17089"	253	Not Applicable	Not Applicable
	"Kankakee County, IL"	"17091"	57	Not Applicable	Not Applicable
	"Kendall County, IL"	"17093"	26	Not Applicable	Not Applicable
	"Lake County, IL"	"17097"	404	Not Applicable	Not Applicable
	"LaSalle County, IL"	"17099"	52	Not Applicable	Not Applicable
	"McDonough County, IL"	"17109"	11	Not Applicable	Not Applicable
	"McHenry County, IL"	"17111"	127	Not Applicable	Not Applicable
	"McLean County, IL"	"17113"	16	Not Applicable	Not Applicable
	"Macon County, IL"	"17115"	27	Not Applicable	Not Applicable
	"Madison County, IL"	"17119"	77	Not Applicable	Not Applicable
	"Monroe County, IL"	"17133"	10	Not Applicable	Not Applicable
	"Montgomery County, IL"	"17135"	10	Not Applicable	Not Applicable
	"Peoria County, IL"	"17143"	19	Not Applicable	Not Applicable
	"Randolph County, IL"	"17157"	10	Not Applicable	Not Applicable
	"Rock Island County, IL"	"17161"	45	Not Applicable	Not Applicable
	"St. Clair County, IL"	"17163"	143	Not Applicable	Not Applicable
	"Sangamon County, IL"	"17167"	39	Not Applicable	Not Applicable
	"Union County, IL"	"17181"	15	Not Applicable	Not Applicable
	"Whiteside County, IL"	"17195"	18	Not Applicable	Not Applicable
	"Will County, IL"	"17197"	293	Not Applicable	Not Applicable
	"Williamson County, IL"	"17199"	18	Not Applicable	Not Applicable
	"Winnebago County, IL"	"17201"	125	Not Applicable	Not Applicable
	"Allen County, IN"	"18003"	154	Not Applicable	Not Applicable
	"Bartholomew County, IN"	"18005"	51	Not Applicable	Not Applicable
	"Boone County, IN"	"18011"	45	Not Applicable	Not Applicable
	"Carroll County, IN"	"18015"	12	Not Applicable	Not Applicable
	"Cass County, IN"	"18017"	11	Not Applicable	Not Applicable
	"Clark County, IN"	"18019"	60	Not Applicable	Not Applicable
	"Clinton County, IN"	"18023"	12	Not Applicable	Not Applicable
	"Daviess County, IN"	"18027"	20	Not Applicable	Not Applicable
	"Dearborn County, IN"	"18029"	27	Not Applicable	Not Applicable
	"Decatur County, IN"	"18031"	30	Not Applicable	Not Applicable
	"De Kalb County, IN"	"18033"	10	Not Applicable	Not Applicable
	"Delaware County, IN"	"18035"	46	Not Applicable	Not Applicable
	"Dubois County, IN"	"18037"	14	Not Applicable	Not Applicable
	"Elkhart County, IN"	"18039"	90	Not Applicable	Not Applicable
	"Fayette County, IN"	"18041"	12	Not Applicable	Not Applicable
	"Floyd County, IN"	"18043"	52	Not Applicable	Not Applicable
	"Franklin County, IN"	"18047"	20	Not Applicable	Not Applicable
	"Grant County, IN"	"18053"	31	Not Applicable	Not Applicable
	"Greene County, IN"	"18055"	31	Not Applicable	Not Applicable
	"Hamilton County, IN"	"18057"	102	Not Applicable	Not Applicable
	"Hancock County, IN"	"18059"	43	Not Applicable	Not Applicable
	"Harrison County, IN"	"18061"	21	Not Applicable	Not Applicable
	"Hendricks County, IN"	"18063"	109	Not Applicable	Not Applicable
	"Henry County, IN"	"18065"	19	Not Applicable	Not Applicable
	"Howard County, IN"	"18067"	64	Not Applicable	Not Applicable
	"Jennings County, IN"	"18079"	10	Not Applicable	Not Applicable
	"Johnson County, IN"	"18081"	103	Not Applicable	Not Applicable
	"Kosciusko County, IN"	"18085"	13	Not Applicable	Not Applicable
	"Lagrange County, IN"	"18087"	18	Not Applicable	Not Applicable
	"Lake County, IN"	"18089"	283	Not Applicable	Not Applicable
	"La Porte County, IN"	"18091"	31	Not Applicable	Not Applicable
	"Lawrence County, IN"	"18093"	28	Not Applicable	Not Applicable
	"Madison County, IN"	"18095"	86	Not Applicable	Not Applicable
	"Marion County, IN"	"18097"	762	Not Applicable	Not Applicable
	"Marshall County, IN"	"18099"	27	Not Applicable	Not Applicable
	"Monroe County, IN"	"18105"	34	Not Applicable	Not Applicable
	"Montgomery County, IN"	"18107"	21	Not Applicable	Not Applicable
	"Morgan County, IN"	"18109"	32	Not Applicable	Not Applicable
	"Noble County, IN"	"18113"	22	Not Applicable	Not Applicable
	"Orange County, IN"	"18117"	24	Not Applicable	Not Applicable
	"Perry County, IN"	"18123"	11	Not Applicable	Not Applicable
	"Porter County, IN"	"18127"	38	Not Applicable	Not Applicable
	"Putnam County, IN"	"18133"	11	Not Applicable	Not Applicable
	"Ripley County, IN"	"18137"	10	Not Applicable	Not Applicable
	"St. Joseph County, IN"	"18141"	91	Not Applicable	Not Applicable
	"Shelby County, IN"	"18145"	23	Not Applicable	Not Applicable
	"Tippecanoe County, IN"	"18157"	19	Not Applicable	Not Applicable
	"Tipton County, IN"	"18159"	22	Not Applicable	Not Applicable
	"Vanderburgh County, IN"	"18163"	33	Not Applicable	Not Applicable
	"Vigo County, IN"	"18167"	18	Not Applicable	Not Applicable
	"Warrick County, IN"	"18173"	19	Not Applicable	Not Applicable
